rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
3533138f17db4d73877633a1bf8f3a75,5.0055,0.0325,0.7041,80,0.0085,0.0278,1,80,80,80,
dd7be4c8f81f4f10a3a7f854484aadca,5.0673,0.0347,0.7163,80,0.0086,0.0232,0,80,80,80,
6f39d38ebe704f4796fb11896b13afe1,5.1334,0.0193,0.6990,80,0.0086,0.0232,0,80,80,80,
d5dbb77a602443399668a38f0464650c,5.2006,0.0192,0.6953,80,0.0086,0.0232,0,80,80,80,
5ebd860bb91040d4b361acb40909ab88,5.2668,0.0253,0.6782,80,0.0083,0.0232,0,80,80,80,
50930daa82bd4d4599c6cbe1138ebfdc,5.3340,0.0225,0.6756,80,0.0083,0.0232,0,80,80,80,
bade5f99fc794ec19d80fb174f1d394a,5.4008,0.0200,0.6719,80,0.0083,0.0232,0,80,80,80,
dbf55ff6ea0b45839ac8ef944522f85a,5.4670,0.0183,0.6696,80,0.0082,0.0232,0,80,80,80,
a1692d76eda748b9a4879d432c858296,5.5344,0.0225,0.6737,80,0.0082,0.0232,0,80,80,80,
7840eb973e85440082b042cfaddda365,5.6003,0.0224,0.6760,80,0.0083,0.0233,0,80,80,80,
258a8ab6eb7d40598b6b53bcd520bba2,5.6677,0.0225,0.6729,80,0.0082,0.0232,1,80,80,80,
07a87ecb69c54eb2807aa6240771c9e9,5.7336,0.0185,0.6647,80,0.0082,0.0231,0,80,80,80,
7528c1d006f4438c926cafb54dd87abd,5.8007,0.0173,0.6471,80,0.0080,0.0156,0,80,80,80,
7adacd13d5cf4c578f016684418c3007,5.8669,0.0217,0.6519,80,0.0080,0.0155,0,80,80,80,
300f2cf8da1746c386dba22082eec3ef,5.9338,0.0189,0.6501,80,0.0080,0.0155,0,80,80,80,
d42d134947d24ba382622b4f10ab58d8,6.0004,0.0224,0.6572,80,0.0080,0.0155,0,80,80,80,
6a5464b63c1c40658f579030f8ee3ad9,6.0675,0.0192,0.6543,80,0.0080,0.0155,0,80,80,80,
2f798e293bac4ff9bb02863f65f74dda,6.1334,0.0173,0.6677,80,0.0082,0.0246,0,80,80,80,
950734af868647ed8f6c158c6e97171a,6.2004,0.0210,0.6727,80,0.0082,0.0245,0,80,80,80,
793db0cad74f4dc3a7a1d530d85a7e34,6.2684,0.0228,0.6684,80,0.0082,0.0246,0,80,80,80,
c31861b367e949ab8d218a317f298a81,6.3343,0.0214,0.6653,80,0.0082,0.0245,1,80,80,80,
a0010786473c4c65a7c4da9c32876979,6.4005,0.0191,0.6461,80,0.0079,0.0246,0,80,80,80,
b5c2905d54e54d8b97bead63b0f8bcb6,6.4672,0.0161,0.6264,80,0.0077,0.0245,0,80,80,80,
59127fdfa5ce4c0d946f8ac29b0ed16a,6.5335,0.0210,0.6137,80,0.0075,0.0245,0,80,80,80,
97814b4d30ab41fa873dae308b12df54,6.6009,0.0179,0.5952,80,0.0073,0.0245,0,80,80,80,
41cea23eba4b49b48b084f5cd4577950,6.6676,0.0190,0.5778,80,0.0071,0.0246,0,80,80,80,
58194a52d17e4a67979d4a6f8a54c2b5,6.7341,0.0317,0.5605,80,0.0067,0.0153,0,80,80,80,
a0f085de2a814ffb9ad5c64163f8b44a,6.8006,0.0226,0.5364,80,0.0065,0.0150,0,80,80,80,
9bbbc16ee4a849d7a46df1e5782d9b7b,6.8669,0.0197,0.5184,80,0.0063,0.0150,0,80,80,80,
58be46c48dcd4358927788253943843f,6.9336,0.0163,0.4937,80,0.0060,0.0078,0,80,80,80,
479d654cf8174da9ba10e5398cd8e713,11.0037,0.0222,0.8095,80,0.0100,0.1119,1,80,80,80,
10d40716e620477fb4c42e1d4a4c5c7c,11.0675,0.0213,0.8246,80,0.0102,0.1119,0,80,80,80,
17d6b1d4ef154d728fd236e04b38df57,11.1340,0.0884,0.7800,80,0.0088,0.0214,0,80,80,80,
4c5cfa8d467e4de5a072dbe5f2665040,11.2008,0.0216,0.7132,80,0.0088,0.0214,0,80,80,80,
e7fe698a2a894fc89b1d6e36caaaeac9,11.2675,0.0202,0.7107,80,0.0087,0.0215,0,80,80,80,
a7567da24fcd42b6937a52747ca26bb8,11.3335,0.0193,0.6941,80,0.0085,0.0198,0,80,80,80,
6466342735834f2db194da2f060ab961,11.4003,0.0212,0.6911,80,0.0085,0.0198,0,80,80,80,
11bef77b8a9c439f89a7b9137a612c32,11.4670,0.0203,0.6819,80,0.0084,0.0198,0,80,80,80,
0c8030ad9cee43ecb7bf6f4e4c8d60b9,11.5337,0.0189,0.6806,80,0.0084,0.0198,0,80,80,80,
dd911f9eb1ee49ad89d92343f3eaada1,11.6002,0.0227,0.6927,80,0.0085,0.0198,0,80,80,80,
64ad4674283d46f991b532864bf59c38,11.6676,0.0241,0.6841,80,0.0084,0.0198,1,80,80,80,
0dfd4bc5a4dc48f98d9d04298950f478,11.7341,0.0219,0.6688,80,0.0082,0.0155,0,80,80,80,
e4382b9eed0e44329b15bfe2341264d6,11.8010,0.0260,0.6575,80,0.0080,0.0155,0,80,80,80,
a13eb5b2102b4ea9bb1357aa30a7fbdc,11.8671,0.0171,0.6488,80,0.0080,0.0154,0,80,80,80,
