rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
8e33c7fa1a0f4190841b5b6ed7cefe6b,5.0015,0.0365,0.6626,80,0.0079,0.0277,1,80,80,80,
2762b05b1aeb418ebde5b3d7ed4e2671,5.0671,0.0350,0.6381,80,0.0076,0.0203,0,80,80,80,
8df620572da04d10bee90eb334b98eb4,5.1336,0.0165,0.6128,80,0.0075,0.0203,0,80,80,80,
8514fbfd3e33467198edf4bf2c2badc3,5.2005,0.0201,0.6154,80,0.0075,0.0202,0,80,80,80,
e9da4507d2484f79bfa50f12bbec53ec,5.2675,0.0224,0.6252,80,0.0076,0.0202,0,80,80,80,
49ce81d0b3b8480f99d8b5089f056e38,5.3336,0.0236,0.6134,80,0.0075,0.0202,0,80,80,80,
0120ddb8d42f42e18f2808c4eb8f4a5b,5.4004,0.0193,0.6130,80,0.0075,0.0202,0,80,80,80,
caa249519a9f4ee3a372673e4aaec1ae,5.4670,0.0218,0.6248,80,0.0076,0.0160,0,80,80,80,
f1083f0c35b64e58bcbf2bbb5be1e527,5.5335,0.0186,0.6138,80,0.0075,0.0160,0,80,80,80,
3834ebe5183447ea8cf1b7dc3e3faca0,5.6003,0.0217,0.6236,80,0.0076,0.0150,0,80,80,80,
0fe67cd8ba574e129ee0b5bfe2016676,5.6676,0.0164,0.6339,80,0.0078,0.0150,1,80,80,80,
3fb569bf7a7442bb99b699c8ddb2c3b4,5.7334,0.0202,0.5845,80,0.0071,0.0150,0,80,80,80,
584157f351a2408a936e1bd62dcaf404,5.8008,0.0221,0.5350,80,0.0065,0.0150,0,80,80,80,
7c9427f6c1f94a46b73e44e63110af2a,5.8672,0.0184,0.5262,80,0.0064,0.0150,0,80,80,80,
07d0abf0c05b4a2d9ed93075dc422d6c,5.9336,0.0205,0.5288,80,0.0064,0.0150,0,80,80,80,
4618e62af3c044c18d135c98c579877c,6.0006,0.0202,0.5276,80,0.0064,0.0150,0,80,80,80,
f3dcf7a0cf5b4a559a72da173130ef8e,6.0668,0.0173,0.5238,80,0.0064,0.0148,0,80,80,80,
d4235c71dd134e5b86e1117850b01fb6,6.1339,0.0204,0.5255,80,0.0064,0.0148,0,80,80,80,
3dadd303d0eb47dfaf7d028d3a795f13,6.2007,0.0160,0.5225,80,0.0064,0.0148,0,80,80,80,
049dc57f1e2f46eb97f936b690f7dc30,6.2668,0.0202,0.5269,80,0.0064,0.0148,0,80,80,80,
861b293086d545e8a4e0544a21d32956,6.3339,0.0174,0.6405,80,0.0079,0.0148,1,80,80,80,
90ece6d05c434ddda79bb1d1edc9fbed,6.4003,0.0206,0.5905,80,0.0072,0.0148,0,80,80,80,
5bab993cec504884ad0713a34c53518a,6.4677,0.0158,0.5374,80,0.0066,0.0147,0,80,80,80,
03eee617551a453181e7253875605464,6.5343,0.0216,0.4874,80,0.0059,0.0147,0,80,80,80,
e88e1ee5d4494b73902dcd8c637c4de8,6.6009,0.0172,0.4351,80,0.0053,0.0147,0,80,80,80,
4caab1480edf451d856483089c519a8e,6.6669,0.0210,0.3855,80,0.0046,0.0147,0,80,80,80,
ee15151706d240a3b7570715d46045e2,6.7335,0.0177,0.3330,80,0.0040,0.0147,0,80,80,80,
3f48d2b8a06c46e4b37bf33f19a68ec6,6.8008,0.0214,0.2815,80,0.0033,0.0144,0,80,80,80,
5d87fb689a784cf0b5f977a150ebcecb,6.8677,0.0238,0.2284,80,0.0026,0.0144,0,80,80,80,
6b3a6b4b1e044aed8c386cf445b5c7c1,6.9340,0.0185,0.1746,80,0.0020,0.0075,0,80,80,80,
489d2cef39b44a2b91c5ddff10e05432,11.0048,0.0207,0.6453,80,0.0079,0.0156,1,80,80,80,
d229b72c70d34f0bbab30cb9cb7e655f,11.0676,0.0212,0.5987,80,0.0073,0.0155,0,80,80,80,
cc1d2c22e9054644a86178c21be10839,11.1342,0.0206,0.5791,80,0.0071,0.0155,0,80,80,80,
fe8147a6a5254ab09b010e353a9a50c1,11.2003,0.0186,0.5754,80,0.0070,0.0154,0,80,80,80,
b53fad0175ae4daa8554125da5b48524,11.2673,0.0208,0.5783,80,0.0071,0.0154,0,80,80,80,
9223fe21a234462dac786f5753ce7652,11.3339,0.0172,0.5760,80,0.0071,0.0154,0,80,80,80,
ce0fa78138774f37a76b1d99179a683c,11.4010,0.0208,0.5781,80,0.0071,0.0154,0,80,80,80,
060a36aca8184d909bea593aface054f,11.4668,0.0182,0.5754,80,0.0071,0.0154,0,80,80,80,
5566c5a79b894b7c84536a358252d402,11.5339,0.0156,0.5782,80,0.0071,0.0154,0,80,80,80,
f48214c6688d439a80a7069426936e59,11.6003,0.0213,0.5822,80,0.0071,0.0153,0,80,80,80,
