rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
7f46eac507c84cf5bab9be2044f1c587,5.0054,0.0413,1.7746,80,0.0219,0.0521,1,80,80,80,
d7b1a662652b42ba9ab5aa24f9526611,5.0728,0.0601,1.7922,80,0.0219,0.0520,0,80,80,80,
29ec796de3e249169759e7787e6e1838,5.1431,0.0271,1.7706,80,0.0221,0.0520,0,80,80,80,
8e26eb27af0f449f93382806711ca910,5.2151,0.0332,1.8058,80,0.0224,0.0520,0,80,80,80,
d257de4aa73e4fedba8cc393cc6959cc,5.2862,0.0456,1.8278,80,0.0226,0.0520,1,80,80,80,
5161b9392f3f472a9025089cf8270601,5.3577,0.0400,1.8128,80,0.0224,0.0521,0,80,80,80,
d389c78cc886499cb3e860bb43d52151,5.4288,0.0366,1.7980,80,0.0223,0.0520,0,80,80,80,
e07ed43e560e40dca3564189befb534b,5.5004,0.0505,1.8022,80,0.0222,0.0520,0,80,80,80,
c32b82b336b54ca98669e098415c7b63,5.5725,0.0504,1.7864,80,0.0220,0.0520,1,80,80,80,
fde1d6526433422ab38ad5774a2ebefc,5.6431,0.0468,1.7749,80,0.0219,0.0520,0,80,80,80,
0cba75feef4340b08a9b707df6d31aa5,5.7153,0.0407,1.7581,80,0.0217,0.0520,0,80,80,80,
096e39da342c486283c3fe670f34a115,5.7864,0.0349,1.7438,80,0.0216,0.0520,0,80,80,80,
b3905745a2d24e29b011c1fd33caebbf,5.8575,0.0540,1.7535,80,0.0215,0.0520,1,80,80,80,
adfca15f22744a19b8fb8189f3d50bbb,5.9299,0.0484,1.7343,80,0.0213,0.0520,0,80,80,80,
d9d289289ec84049bafa207eb5d711cd,6.0003,0.0448,1.7193,80,0.0212,0.0520,0,80,80,80,
303b01b30777473faf74e5aca762c0ed,6.0717,0.0438,1.7164,80,0.0212,0.0520,0,80,80,80,
f7d16a68979c4dd691bcfb7f5196b7ab,6.1446,0.0491,1.6987,80,0.0209,0.0520,1,80,80,80,
b8c6c5be32654276867fe0377dda6a85,6.2154,0.0477,1.6828,80,0.0207,0.0520,0,80,80,80,
119d560755464ed0add49b7b48f877ee,6.2859,0.0460,1.6679,80,0.0205,0.0520,0,80,80,80,
8e54defbf9db4467a06373f04ec9a4b3,6.3574,0.0410,1.6519,80,0.0204,0.0521,0,80,80,80,
6ccfdea98a804e3cb540820698684ade,6.4291,0.0399,1.6369,80,0.0202,0.0520,1,80,80,80,
7ff4d98c5dcc486f804c3d6f14395e39,6.5005,0.0366,1.6057,80,0.0199,0.0523,0,80,80,80,
202447f4dc954206ac09c5473542d5bf,6.5725,0.0362,1.5723,80,0.0194,0.0521,0,80,80,80,
a80baec833744c04a74895baa75c1e80,6.6436,0.0659,1.5534,80,0.0188,0.0415,0,80,80,80,
30375f1be93942ef8299bb0382a3031c,6.7146,0.0462,1.5089,80,0.0185,0.0415,1,80,80,80,
8a9cd151aa8f45f68504200dcfef7adf,6.7862,0.0409,1.4494,80,0.0178,0.0416,0,80,80,80,
b5883484999547db9e86c536f1562978,6.8576,0.0366,1.3946,80,0.0172,0.0415,0,80,80,80,
2d59b3eeec2b4c3db238874ef4b3aaac,6.9290,0.0317,1.3395,80,0.0166,0.0306,0,80,80,80,
5705c3236f2143c0adc4926e8174672f,11.0034,0.0340,1.7088,80,0.0212,0.0495,1,80,80,80,
78d97cb4b67d443da5f4292de215905a,11.0716,0.0292,1.7285,80,0.0215,0.0495,0,80,80,80,
f27a5b8583454c578a66fe0a0df36c4d,11.1434,0.0333,1.7734,80,0.0220,0.0495,0,80,80,80,
6adf6a7c4c11498098df49e95d88a4f4,11.2144,0.0372,1.8062,80,0.0224,0.0496,0,80,80,80,
11fdd70085b34006b8946d9b9a7d4bf7,11.2864,0.0375,1.8132,80,0.0225,0.0495,1,80,80,80,
521f0d3ea11b4340978974a38df16e14,11.3582,0.0323,1.7991,80,0.0224,0.0495,0,80,80,80,
3f449b8855244035961b04f09350c0b5,11.4290,0.0470,1.8046,80,0.0222,0.0495,0,80,80,80,
0296bfd9772342198a80786199683d91,11.5008,0.0433,1.7897,80,0.0221,0.0495,0,80,80,80,
