rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
3f7ddb3f67c04659a3c69c2fd65cdf24,5.0055,0.3786,10.2629,80,0.1251,0.2572,1,80,80,80,
6dda2430cca84552b9ffa874199e4ef3,5.0719,0.4296,10.3048,80,0.1250,0.2420,0,80,80,80,
f360844074d84030a4b29679b73dbbb4,5.1435,0.3578,10.2326,80,0.1250,0.2421,0,80,80,80,
1529678a3eea4a20876b9cae972fe900,5.2147,0.2868,10.1614,80,0.1250,0.2420,0,80,80,80,
82ff39afbac44453845b7ad1014a1ea6,5.2861,0.2153,10.0906,80,0.1250,0.2421,1,80,80,80,
2189888fd6f44f48925068f3969ebfbc,5.3580,0.1435,10.0179,80,0.1250,0.2420,0,80,80,80,
c3fcf1204b95416da92f50263850e67c,5.4293,0.2214,9.9464,80,0.1231,0.2174,0,80,80,80,
b3b05a4280334ab889492b8bed5b3d52,5.5004,0.2539,9.9814,80,0.1231,0.2171,0,80,80,80,
67f5496c65ab4022a0daf5574f6d148a,5.5718,0.1825,9.9099,80,0.1231,0.2173,1,80,80,80,
67fca65b7be24ccba09dcf3278936986,5.6440,0.1103,9.8376,80,0.1231,0.2173,0,80,80,80,
3a3b1cdd83a4412485b558ab94460eb0,5.7150,0.1529,9.7670,80,0.1217,0.2171,0,80,80,80,
851c9d20411645aca710b1105f6ed3e4,5.7865,0.1845,9.8030,80,0.1218,0.2171,0,80,80,80,
8e08255eefae4a0e957440f87f1bfb63,5.8574,0.1135,9.7318,80,0.1218,0.2173,1,80,80,80,
610e3ef05b3644e889b0a069ee86409b,5.9290,0.1480,9.6606,80,0.1204,0.2171,0,80,80,80,
dd6328f68cc04acb9940b88a0925bb2b,6.0011,0.1900,9.7083,80,0.1205,0.2171,0,80,80,80,
21a163b989ca44dbb997d659c7f9fb44,6.0723,0.1189,9.6368,80,0.1205,0.2173,0,80,80,80,
0c1154bce2f64d9e8bf530e6edab1625,6.1439,0.1499,9.6770,80,0.1206,0.2171,1,80,80,80,
8194a1135e294ee6a0e921b53ef4ac40,6.2154,0.0958,9.6056,80,0.1204,0.2171,0,80,80,80,
fe5416c4a8c74ca590f173f642cef3f9,6.2862,0.1335,9.5345,80,0.1190,0.2173,0,80,80,80,
e5ba15f972c14178952afc0321d0eca5,6.3573,0.1771,9.5714,80,0.1189,0.2172,0,80,80,80,
1572aaead7f84818bcaf2a4c18a9a18b,6.4299,0.2031,9.6060,80,0.1190,0.2171,1,80,80,80,
b61975ff592248608fd700fb0382d179,6.5010,0.1320,9.5349,80,0.1190,0.2171,0,80,80,80,
98d29c39a2104188b34fadf8b809b790,6.5716,0.1663,9.4645,80,0.1177,0.2171,0,80,80,80,
2840dfb80a1d45f083f4adecd139a1b0,6.6431,0.1953,9.5008,80,0.1178,0.2173,0,80,80,80,
ed2eda4cb95b414091a2e168c7e92fb5,6.7152,0.1232,9.4289,80,0.1178,0.2171,1,80,80,80,
9be16017820e4981978a473ce92a0b91,6.7861,0.1576,9.3579,80,0.1165,0.2173,0,80,80,80,
2b49352fd5ea4203a9011e78aa9f5fa8,6.8575,0.2058,9.3958,80,0.1163,0.2115,0,80,80,80,
28b13eb843db41c7a63d43fbd5f7b2f9,6.9295,0.1338,9.3240,80,0.1163,0.2120,0,80,80,80,
c6073826336e4e38b306ec36a5bcbe3b,11.0002,0.1982,10.1636,80,0.1261,0.2138,1,80,80,80,
bf5b1a7d568e4e999b8b4f039fd827d1,11.0719,0.1266,10.0919,80,0.1261,0.2138,0,80,80,80,
bf919710f9444efb8d4a3d6d4d84431d,11.1438,0.1638,10.0190,80,0.1247,0.2141,0,80,80,80,
eb4f2894d24d412a9bc5e76d5af3c25b,11.2147,0.1939,10.0604,80,0.1249,0.2139,0,80,80,80,
089a77c64bd84af3b5cbb09810aaf3ca,11.2863,0.1222,9.9885,80,0.1249,0.2141,1,80,80,80,
ee1d2f84cb1447d8a310fbf10200d466,11.3578,0.1570,9.9165,80,0.1235,0.2138,0,80,80,80,
ca6cd22604e4479c9cc1ad67fd9ea6ad,11.4287,0.2057,9.9534,80,0.1234,0.2139,0,80,80,80,
14749f6c20d84ebfb8b800acf11df023,11.5003,0.1341,9.8819,80,0.1234,0.2139,0,80,80,80,
0b2f115042fa498682221020f8dd85e6,11.5724,0.1573,9.9204,80,0.1236,0.2141,1,80,80,80,
1937b2c3c0254d6d85b6774fdc3a439e,11.6446,0.0964,9.8482,80,0.1234,0.2141,0,80,80,80,
