rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
550140ac85c94c509d36a91d9940534d,5.0054,0.0414,7.8194,80,0.0985,0.2995,1,80,80,80,
98bd3472ddfb4fc398cfa9428ba8dda5,5.0718,0.0487,8.3309,80,0.1048,0.2994,0,80,80,80,
f61cd3614f394184b4d2a310a7df7c02,5.1435,0.0397,8.7030,80,0.1097,0.2994,0,80,80,80,
9d5097ccec8d4dd886973dad0c3b5ab6,5.2150,0.0312,9.1003,80,0.1148,0.2995,0,80,80,80,
506c2f58605b4230afc974c585779ace,5.2861,0.3095,9.6164,80,0.1178,0.2215,1,80,80,80,
8172666b07b64dc5a309fab692e7231d,5.3578,0.3693,9.6566,80,0.1176,0.2214,0,80,80,80,
c3d60f81252b40dd92d5332d4926c8ba,5.4295,0.2977,9.5849,80,0.1176,0.2214,0,80,80,80,
9eb2866f0f4d4b8da9f3ecf5e9ba3af4,5.5003,0.2269,9.5141,80,0.1176,0.2214,0,80,80,80,
654fd20bb3994d11a16cee3572617ca9,5.5721,0.1551,9.4426,80,0.1176,0.2215,1,80,80,80,
ae76244685664b5fa11879379385ab02,5.6433,0.2043,9.4839,80,0.1175,0.2213,0,80,80,80,
a6c3b0fcc7f74c4995ea9e730e2bd8b0,5.7148,0.1328,9.4123,80,0.1175,0.2212,0,80,80,80,
afb74cde30fd41e0a6a9cc7e9c4b0511,5.7861,0.1841,9.4537,80,0.1173,0.2215,0,80,80,80,
5f202842a5d547c3bd24851f279ac534,5.8577,0.2425,9.4947,80,0.1171,0.2214,1,80,80,80,
67793379e2984c70b15085ebf7437e49,5.9288,0.1714,9.4230,80,0.1171,0.2214,0,80,80,80,
97fb9deea3af4e9d9587455d8c3673dc,6.0003,0.2207,9.4610,80,0.1170,0.2214,0,80,80,80,
98cfd2c4a1bb400788e83f6f68013cd3,6.0723,0.1485,9.3887,80,0.1170,0.2212,0,80,80,80,
3fe9d09c46a54236a20fed64d0253d69,6.1432,0.2009,9.4310,80,0.1168,0.2214,1,80,80,80,
f590259cd6364269816b5805133baab9,6.2150,0.1290,9.3597,80,0.1168,0.2215,0,80,80,80,
f3be1c48c8a345019b1240898dad973e,6.2865,0.1770,9.4013,80,0.1168,0.2214,0,80,80,80,
95d277f3e30a4882b7c365110277828b,6.3578,0.2993,9.4456,80,0.1158,0.2215,0,80,80,80,
bf65b4a054b547039031ab9c993b2f7e,6.4288,0.2284,9.3742,80,0.1158,0.2214,1,80,80,80,
b2787490cc3241eb8886c90b8c097340,6.5003,0.2806,9.4160,80,0.1156,0.2214,0,80,80,80,
287d616352f94630bba95bb40b25613e,6.5721,0.2088,9.3442,80,0.1156,0.2214,0,80,80,80,
1e45356cf302443e9125bfcbcf0a2510,6.6430,0.1378,9.2733,80,0.1156,0.2214,0,80,80,80,
53f5051b29be47d5858ed0ad17b44d2a,6.7149,0.0900,9.3114,80,0.1167,0.2214,1,80,80,80,
6c98902ef6d44577924488802c344635,6.7860,0.1280,9.2402,80,0.1153,0.2213,0,80,80,80,
b2838b79a59a44218754c5e79660e045,6.8581,0.1766,9.2773,80,0.1152,0.2215,0,80,80,80,
0764de04acc04782b7cc7ef924ed6238,6.9290,0.2258,9.3188,80,0.1151,0.2215,0,80,80,80,
1a240bc9cfc84d7e940e7875bde248e1,11.0021,0.1395,9.4784,80,0.1182,0.2212,1,80,80,80,
ea503ecc95fc4cdba9e8916ec0784d32,11.0724,0.0909,9.5181,80,0.1193,0.2212,0,80,80,80,
8b802db14905405499140766176d35fd,11.1438,0.1291,9.4469,80,0.1179,0.2214,0,80,80,80,
a95db946b8274dad88bff3bda775c391,11.2145,0.1808,9.4878,80,0.1178,0.2215,0,80,80,80,
156e91a92f8a4c1e8dcdb099ec92204f,11.2859,0.2318,9.5268,80,0.1177,0.2214,1,80,80,80,
6481e93bfc264c5c8d8a8e75bc3205f1,11.3576,0.1601,9.4552,80,0.1177,0.2214,0,80,80,80,
1d537ed0cfbd4d2093dcb015bbdc0fac,11.4301,0.2169,9.4941,80,0.1174,0.2212,0,80,80,80,
42022aadbfb64a8f83d503826706a986,11.5007,0.1464,9.4237,80,0.1174,0.2214,0,80,80,80,
4974b1c6e49145cb8a7f7570f34c6be3,11.5719,0.1008,9.4749,80,0.1187,0.2214,1,80,80,80,
d3b8fdcc026f4c6988b5f2f538e06f11,11.6440,0.1418,9.4029,80,0.1172,0.2215,0,80,80,80,
80a9835a84c2447b9c4813da5ab7833a,11.7149,0.0935,9.4416,80,0.1183,0.2214,0,80,80,80,
ff68e069ebf44b91a68978b89e4abc36,11.7858,0.1336,9.3705,80,0.1169,0.2213,0,80,80,80,
60c841d354d54aac899d0e37f7d3e570,11.8575,0.0867,9.4089,80,0.1180,0.2214,1,80,80,80,
8d6ed2c62ce545ffab22d857035c7846,11.9296,0.1274,9.3366,80,0.1166,0.2212,0,80,80,80,
8d707967ea2b4274b460c440591e24ff,12.0004,0.1775,9.3772,80,0.1165,0.2214,0,80,80,80,
5075039d76314ec0a8d5120bebfe51a1,12.0724,0.2338,9.4144,80,0.1162,0.2215,0,80,80,80,
ef8d136fdd9944fe9ff8fe9a07d703f7,12.1432,0.1630,9.3445,80,0.1162,0.2214,1,80,80,80,
d26ef82184ec40c48c2361778c473caf,12.2148,0.2129,9.3842,80,0.1161,0.2214,0,80,80,80,
2ae79f7cc1484d0c804dcca9069b9260,12.2863,0.1414,9.3128,80,0.1161,0.2214,0,80,80,80,
98ccd8112a1b49f3a6294f4d6a87e0ef,12.3574,0.0943,9.3555,80,0.1172,0.2213,0,80,80,80,
362057294e0540fd8e2667d19fdb34a9,12.4287,0.1355,9.2843,80,0.1158,0.2218,1,80,80,80,
92021152917346a69e196930c380eff2,12.5008,0.1841,9.3207,80,0.1157,0.2214,0,80,80,80,
af571542e105454b9487f7e58ecff103,12.5724,0.2342,9.3585,80,0.1155,0.2218,0,80,80,80,
ba60c7b0619c48b28c7a67e300e8b802,12.6430,0.1636,9.2874,80,0.1155,0.2212,0,80,80,80,
4c522318b1444ab8bb05bb40560deb48,12.7151,0.2323,9.3248,80,0.1151,0.2214,1,80,80,80,
8f4e2df3835a4695b2de1b1625a7a665,12.7868,0.1607,9.2530,80,0.1151,0.2218,0,80,80,80,
79c8a85f19b24f5f91f0330183154bdf,12.8581,0.2001,9.2914,80,0.1151,0.2214,0,80,80,80,
6624d4b665df4b539598c1cf5eaa45e9,12.9296,0.2474,9.3299,80,0.1150,0.2174,0,80,80,80,
91309ff53813494abf84eb090df0efcc,17.0005,0.1445,9.3871,80,0.1170,0.2206,1,80,80,80,
563618db401e47fc96faccaad463a47d,17.0724,0.0948,9.4261,80,0.1181,0.2206,0,80,80,80,
