rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
aed5dd8719b84de69419ce63caaeae69,5.0054,0.0443,0.7981,80,0.0095,0.0276,1,80,80,80,
d91ede3df8d5492a9ce998ae4604aee6,5.0718,0.0344,0.8002,80,0.0097,0.0218,0,80,80,80,
4bc7dc7b0d374f209de83109153ecd84,5.1438,0.0188,0.8169,80,0.0101,0.0217,0,80,80,80,
20cb70d65a554ea18d2b57e2136cd93f,5.2146,0.0180,0.8363,80,0.0104,0.0217,0,80,80,80,
4f0479c9ab5746cc835c0f873e263273,5.2865,0.0245,0.8529,80,0.0105,0.0218,1,80,80,80,
7cd2d8f658af413d9df5af616337a5b7,5.3583,0.0254,1.3210,80,0.0164,0.4567,0,80,80,80,
2a16914e59464c45958b90aa27c1d206,5.4290,0.0255,1.3306,80,0.0165,0.4568,0,80,80,80,
b1b2bde0fcdd45f3afec8654bfbded19,5.5001,0.0250,1.3311,80,0.0165,0.4568,0,80,80,80,
9361d100bc9c440fa793f297be766750,5.5720,0.0217,1.3886,80,0.0173,0.4569,1,80,80,80,
40b6edc4fd6346c680850fb35556508d,5.6435,0.0230,1.3850,80,0.0172,0.4568,0,80,80,80,
7b12abd7fa134e8ab5a09fc3a3e7af50,5.7143,0.0352,1.3793,80,0.0170,0.4569,0,80,80,80,
04d595159b0445689a55aadbb9b82b1f,5.7862,0.0270,1.3722,80,0.0170,0.4568,0,80,80,80,
dcab5abb99ae4dc49a3946c2d1a94bf1,5.8580,0.0245,1.3560,80,0.0169,0.4568,1,80,80,80,
3b4ef24169754b3691958ed4e5923bd4,5.9288,0.0216,1.3423,80,0.0167,0.4567,0,80,80,80,
474fcedafe3a42458505f1515dc5313d,6.0001,0.0229,1.3371,80,0.0166,0.4568,0,80,80,80,
83be9d0e86b84264be120490ff65bdd1,6.0720,0.0217,1.3360,80,0.0166,0.4568,0,80,80,80,
4ccacce304d8429ab57862138ac66ec9,6.1438,0.0215,1.3299,80,0.0166,0.4568,1,80,80,80,
86b615ad1409429a89f6a8a574ee7cb0,6.2152,0.4427,1.2975,80,0.0108,0.0663,0,80,80,80,
