rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
4ec80c19d5f14d95b16020b9d0546e33,5.0054,0.0307,0.8205,80,0.0100,0.0301,1,80,80,80,
58ae53cd1db6436081c7268ae5c9ef55,5.0724,0.0376,0.8396,80,0.0102,0.0214,0,80,80,80,
6538802faccb4f27a7df2e993732e7f6,5.1430,0.0178,0.8363,80,0.0104,0.0242,0,80,80,80,
b982b0a78e974662a8990fbd3e61ff5b,5.2150,0.0201,0.8608,80,0.0106,0.0244,0,80,80,80,
b46103e37d814177aaf35da7c9e75d8a,5.2860,0.0275,0.8945,80,0.0110,0.0244,1,80,80,80,
3293cf64940e4933b9c073027560b094,5.3578,0.0222,0.8938,80,0.0110,0.0244,0,80,80,80,
191e6e6d39174e0880fc581a797e15f6,5.4288,0.0275,0.8979,80,0.0110,0.0243,0,80,80,80,
813f6252cc1044afabb17d1597e7ff9a,5.5002,0.0238,0.8920,80,0.0110,0.0243,0,80,80,80,
fd8a76ea396747a784500ba65adf47c9,5.5717,0.0282,0.8992,80,0.0110,0.0244,1,80,80,80,
727e5a2860ac42c6803cf6412c3456ce,5.6433,0.0222,0.8943,80,0.0110,0.0244,0,80,80,80,
ba2e89dc66bd43fc8cebfd037768c1c3,5.7148,0.0242,0.8970,80,0.0110,0.0242,0,80,80,80,
41fd606bbfae463dac1ed4fedf55a843,5.7865,0.0286,0.9010,80,0.0110,0.0244,0,80,80,80,
bb4b7aa8b62341e5b3785cb92cb2e9f8,5.8573,0.0247,0.8975,80,0.0110,0.0244,1,80,80,80,
51acfc702e8b45c58c23b8e909fa6044,5.9293,0.0284,0.9030,80,0.0111,0.0212,0,80,80,80,
e2a27c57099c4571a5867dfb06f8a636,6.0011,0.0254,0.9003,80,0.0111,0.0219,0,80,80,80,
26e45ba1d7e2436bbd752e6040638b0f,6.0718,0.0217,0.8989,80,0.0111,0.0222,0,80,80,80,
9d0b5095eb06409d86ba0cce34b0bca1,6.1437,0.0255,0.8967,80,0.0110,0.0222,1,80,80,80,
425264a8110a45c0a8d8ff59e5d03e18,6.2147,0.0262,0.8855,80,0.0109,0.0222,0,80,80,80,
f08c109d2dad48c4bfbf5691b36e38e4,6.2858,0.0220,0.8781,80,0.0108,0.0222,0,80,80,80,
36419b992c5943ceb93d57a59f9f5975,6.3577,0.0238,0.8736,80,0.0108,0.0222,0,80,80,80,
992e7582413443679aa47aade3a16717,6.4294,0.0195,0.8608,80,0.0106,0.0223,1,80,80,80,
80b703affb1e43b5a04cab37036e3b11,6.5002,0.0278,0.8416,80,0.0103,0.0222,0,80,80,80,
e9e3cda810534d3d882a53b382ab4588,6.5721,0.0211,0.8144,80,0.0100,0.0222,0,80,80,80,
cc0b1dcfbf694d65adb66ec1bb0370f9,6.6433,0.0243,0.7949,80,0.0098,0.0222,0,80,80,80,
e23ac44d726a431d8e9581dbcee1e9c2,6.7154,0.0300,0.7769,80,0.0095,0.0223,1,80,80,80,
e1ce6e39a09441af8fc773191f4bbfc6,6.7860,0.0269,0.7165,80,0.0087,0.0223,0,80,80,80,
e281524ca31a4616a0b13c350e46679b,6.8579,0.0225,0.6552,80,0.0080,0.0222,0,80,80,80,
6c499725bf35468aba655fe15d4176e4,6.9290,0.0196,0.5934,80,0.0073,0.0147,0,80,80,80,
903c286aa8b2456e9e17993174e3c3b5,11.0041,0.0219,0.7730,80,0.0095,0.0223,1,80,80,80,
