rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
116e2c82481d4cd6a6ca8046c5b4ff48,5.0055,0.0303,0.7921,80,0.0096,0.0272,1,80,80,80,
7287562a2ed649c8a2e25f920381ade5,5.0717,0.0283,0.7960,80,0.0097,0.0242,0,80,80,80,
c46d8ec5b0ef4c2ab8d3616fc6db5c3d,5.1436,0.0183,0.8138,80,0.0101,0.0242,0,80,80,80,
a69aee8b9c8e44bebc4e945f67c3a397,5.2151,0.0183,0.8318,80,0.0103,0.0241,0,80,80,80,
01ac5c87603e417daf6c588652913138,5.2866,0.0257,0.8613,80,0.0106,0.0242,1,80,80,80,
7f5a86917715416da2ec0023747b63de,5.3574,0.0257,0.8678,80,0.0107,0.0242,0,80,80,80,
8b678067ad6947768cfb117d9a988b65,5.4294,0.0409,0.8684,80,0.0105,0.0214,0,80,80,80,
5d5bc5b053574de7acf7914d810f1944,5.5008,0.0227,0.8566,80,0.0106,0.0216,0,80,80,80,
6c7a8decb72c4f1fbd5b345b0f1e8a10,5.5722,0.0239,0.8571,80,0.0105,0.0215,1,80,80,80,
7684b01e1c4449f0b1c18f7a9d07e029,5.6432,0.0225,0.8594,80,0.0106,0.0215,0,80,80,80,
902f43633f8440eda6e06176cc375f9d,5.7146,0.0299,0.8595,80,0.0105,0.0199,0,80,80,80,
85ae3eca8ba147cf882fa1a2a59564b1,5.7860,0.0292,0.8504,80,0.0104,0.0198,0,80,80,80,
9463416f78f04bcbb246a3350b287a75,5.8573,0.0197,0.8480,80,0.0105,0.0199,1,80,80,80,
8936c900edea42fd9f996c2dfc4e1788,5.9296,0.0177,0.8491,80,0.0105,0.0198,0,80,80,80,
2588bacf869845a7962b358415252b02,6.0005,0.0184,0.8492,80,0.0105,0.0198,0,80,80,80,
db1a436a33ad465ab9d7465d795ebd9c,6.0718,0.0209,0.8497,80,0.0105,0.0200,0,80,80,80,
c10f83ce06584fb8b348c075ee93abd8,6.1435,0.0209,0.8473,80,0.0105,0.0200,1,80,80,80,
d6154c5c3b104107a6524b86d64546da,6.2144,0.0210,0.8321,80,0.0103,0.0199,0,80,80,80,
f29c9894bd6f4e7997ac8219194ad955,6.2859,0.0214,0.8309,80,0.0102,0.0199,0,80,80,80,
49d8139376de45be8fb825eb4b44d5d7,6.3575,0.0256,0.8231,80,0.0101,0.0200,0,80,80,80,
b2855cb85cf54eba8c9eb65746b5a4e4,6.4289,0.0260,0.8198,80,0.0100,0.0199,1,80,80,80,
ef332cad7b2c4e57a2a2dd0958f149e1,6.5004,0.0269,0.7988,80,0.0098,0.0199,0,80,80,80,
9e7166acf3184c9bb6ebbce995eef622,6.5722,0.0262,0.7767,80,0.0095,0.0199,0,80,80,80,
c98ad1123278438ab996f37e9156ba6a,6.6436,0.0318,0.7550,80,0.0092,0.0200,0,80,80,80,
d2a71a22a78847218a010b2d8656684a,6.7147,0.0259,0.7261,80,0.0089,0.0199,1,80,80,80,
e1c23a01776942c09c401e15d8801269,6.7858,0.0271,0.6959,80,0.0085,0.0200,0,80,80,80,
0a2856888da241808fc4e9c45c86d5a3,6.8578,0.0266,0.6642,80,0.0081,0.0180,0,80,80,80,
39b0f00591ed4672bf98c44e6a2f7d92,6.9287,0.0263,0.6287,80,0.0076,0.0142,0,80,80,80,
e7540248d27b481daf1f07c13ba2ac51,11.0041,0.0204,0.7456,80,0.0092,0.0206,1,80,80,80,
6d8c31c8c7ba4162866072fe29a34b5e,11.0719,0.0211,0.7768,80,0.0096,0.0206,0,80,80,80,
11ab7c9f91e94e7f9fc786bbb2874762,11.1431,0.0257,0.7941,80,0.0097,0.0205,0,80,80,80,
439cc682da644cddbc58c76ce73b9ebf,11.2148,0.0213,0.8150,80,0.0100,0.0205,0,80,80,80,
6d7f950d09cc4f1590f08ed3466ffac6,11.2863,0.0246,0.8355,80,0.0103,0.0205,1,80,80,80,
0ad7a0c79c9042948789f0650f3190a4,11.3578,0.0226,0.8406,80,0.0104,0.0211,0,80,80,80,
fc20ca83c828403288dfd9246bf9d967,11.4294,0.0209,0.8408,80,0.0104,0.0212,0,80,80,80,
ee30315734e844c1b48ef0b39d3aad51,11.5007,0.0197,0.8417,80,0.0104,0.0210,0,80,80,80,
d1b756f6274945f0a293ca6934433ff0,11.5717,0.0194,0.8406,80,0.0104,0.0209,1,80,80,80,
0ef181ae9f2b489a905859201363533d,11.6436,0.0202,0.8403,80,0.0104,0.0209,0,80,80,80,
a6a39a1fca9c4bea946ec722472f7710,11.7146,0.0251,0.8421,80,0.0103,0.0212,0,80,80,80,
8ea953b0ce5a45c0b19ac4c2a0cfd39e,11.7861,0.0252,0.8438,80,0.0104,0.0210,0,80,80,80,
029d943d0e444354ac619b9e28a48cab,11.8573,0.0253,0.8612,80,0.0106,0.0334,1,80,80,80,
a99362882b4c4846bf0f0ff65e46a3ea,11.9287,0.0240,0.8646,80,0.0106,0.0335,0,80,80,80,
d9145f1be9bd43d9bb8fb3a39f0ded28,12.0009,0.0189,0.8570,80,0.0106,0.0335,0,80,80,80,
b8cdc2d6d2b143c7838bdb55b5dc9238,12.0718,0.0205,0.8672,80,0.0107,0.0334,0,80,80,80,
b758b5fe3eb74f0c9b0990708bbff9b7,12.1437,0.0217,0.8733,80,0.0108,0.0334,1,80,80,80,
4b6d392bfda8406087305f9616895e45,12.2149,0.0270,0.8686,80,0.0107,0.0332,0,80,80,80,
955c6c17290e43f3820e05219a4cde8b,12.2865,0.0194,0.8573,80,0.0106,0.0334,0,80,80,80,
0758b296ecaa4934afd1398c99ee6078,12.3575,0.0187,0.8557,80,0.0106,0.0334,0,80,80,80,
2f60c89aba92471c9fd9d30e5d6a4300,12.4297,0.0266,0.8606,80,0.0106,0.0334,1,80,80,80,
8122921763a248fa811379709fe422e6,12.5002,0.0287,0.8407,80,0.0103,0.0332,0,80,80,80,
b1f3d393817145849028ce775e120b0e,12.5717,0.0202,0.8123,80,0.0100,0.0334,0,80,80,80,
eefc25bf800e45cb895cbf91a99a8b92,12.6438,0.0286,0.7889,80,0.0096,0.0219,0,80,80,80,
b82dc57de92940e6ae170ff24db09cb0,12.7152,0.0289,0.7622,80,0.0093,0.0220,1,80,80,80,
8259c4c4b1e84abf99c89aeefe95428a,12.7868,0.0230,0.7273,80,0.0089,0.0219,0,80,80,80,
ed6bd37deaf44d00b66b5977c5ebafc8,12.8579,0.0260,0.6972,80,0.0085,0.0220,0,80,80,80,
2fdbfbb5fb684d4cb5a8fe83c682dee7,12.9289,0.0275,0.6567,80,0.0080,0.0122,0,80,80,80,
18d71b56747a4b41b28f39239b324b4d,17.0043,0.0206,0.8344,80,0.0103,0.0746,1,80,80,80,
2af28ad4dd0b467aaa78b7f11509177d,17.0717,0.0844,0.8588,80,0.0098,0.0581,0,80,80,80,
10d65d1f9bc14848b706a43e6f60d88d,17.1441,0.0194,0.7863,80,0.0097,0.0580,0,80,80,80,
d045d0e51a2a406c98177a6ce703f020,17.2145,0.0214,0.8020,80,0.0099,0.0580,0,80,80,80,
f692af3029c1499a8b8b386c169be5c9,17.2864,0.0698,0.8987,80,0.0105,0.0237,1,80,80,80,
