rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
4aa9c702b0764a49b436101e6215806b,5.0045,0.0325,0.9041,80,0.0110,0.1150,1,80,80,80,
2ee312ca3ef4429fa75ab6bc7811d64f,5.0722,0.0319,0.9246,80,0.0113,0.1150,0,80,80,80,
67f2dcdb6fb84791bdfdadb14c171802,5.1433,0.0252,0.9319,80,0.0115,0.1151,1,80,80,80,
94a63aff4ebe44e8a930a3174aa2f0e5,5.2148,0.0240,0.9329,80,0.0115,0.1150,0,80,80,80,
0e69fd7f8e984764bcbc2879c2ae6c10,5.2860,0.0231,0.9328,80,0.0115,0.1150,1,80,80,80,
ae3a273115a14d179a2d3110a5fa8dc0,5.3575,0.0233,0.9306,80,0.0115,0.1151,0,80,80,80,
c61ef54bf81a4f688f5723f16cbe4248,5.4289,0.0285,0.9386,80,0.0115,0.1152,1,80,80,80,
6e3a0079d60b4208b4f366fa011012af,5.5002,0.0279,0.9379,80,0.0115,0.1151,0,80,80,80,
f018651a210b484ea3bac780ab672cbb,5.5723,0.0272,0.9364,80,0.0115,0.1152,1,80,80,80,
d3e40e25f884425ba860a9066c7ca3bc,5.6439,0.0260,0.9366,80,0.0115,0.1150,0,80,80,80,
d4404fc8eb39402c9e19e41314dceb2b,5.7149,0.0262,0.9365,80,0.0115,0.1151,1,80,80,80,
035f1a8f8d9b4fa6999f6d39c2ea5a91,5.7860,0.1324,0.9444,80,0.0103,0.0271,0,80,80,80,
9773b9f48b7e42b19f63f03171568b90,5.8577,0.0607,0.8728,80,0.0103,0.0271,1,80,80,80,
73a7ed90cf8341cf98caeed4fcdf4ba6,5.9290,0.0229,0.8358,80,0.0103,0.0270,0,80,80,80,
9e0501cf5d8240a9b8fe131b3d7efb80,6.0010,0.0208,0.8331,80,0.0103,0.0271,1,80,80,80,
09bcf23e08c84ff6a96949fdbc6baae7,6.0724,0.0179,0.8330,80,0.0103,0.0271,0,80,80,80,
f4d3833f71b04766bcb955357d7d81f9,6.1431,0.0215,0.8335,80,0.0103,0.0271,1,80,80,80,
5afd18bcebc04ddc9eae26acd1a72cf9,6.2150,0.0189,0.8273,80,0.0102,0.0271,0,80,80,80,
e0d750a2b17d4dffad604430a21f6653,6.2862,0.0368,0.8279,80,0.0100,0.0194,1,80,80,80,
47271ef159c7406fb7b47e5034a16017,6.3577,0.0252,0.8104,80,0.0099,0.0194,0,80,80,80,
3043f918f6574863b998f9b1bd50851c,6.4296,0.0244,0.8114,80,0.0100,0.0194,1,80,80,80,
7008a7f2465e4e848932ef4c1f115edc,6.5007,0.0238,0.8043,80,0.0099,0.0194,0,80,80,80,
84e04dfd0c0b4ee1a4aa42084e3927df,6.5725,0.0243,0.7981,80,0.0098,0.0194,1,80,80,80,
1f816ae6fa904d4799cd60586036c131,6.6434,0.0235,0.7935,80,0.0097,0.0192,0,80,80,80,
3859ba13a3b3437aa4337f54d96a7a2a,6.7152,0.0310,0.7853,80,0.0095,0.0183,1,80,80,80,
e24d8accc85f42208b10945e15b2b8e2,6.7865,0.0202,0.7561,80,0.0093,0.0183,0,80,80,80,
83f8b1525f6744fcb93ea2934e9f9122,6.8579,0.0196,0.7340,80,0.0090,0.0183,1,80,80,80,
211207684e844d0cbc21044c2dee0682,6.9290,0.0198,0.6986,80,0.0086,0.0184,0,80,80,80,
995db8b202ef44ceb00614e8de19258c,11.0042,0.0208,0.7732,80,0.0095,0.0194,1,80,80,80,
e9ec52ad20504c8e96a6894fdaafdb01,11.0722,0.0157,0.7954,80,0.0099,0.0193,0,80,80,80,
cd363d62aa3b435da697acf53d6a0063,11.1438,0.0237,0.8307,80,0.0102,0.0196,1,80,80,80,
b2232179a6d2445db78d091130bb5616,11.2147,0.0226,0.8303,80,0.0102,0.0197,0,80,80,80,
d2744e842b5e4eb6961918e0f94e43ac,11.2867,0.0214,0.8389,80,0.0103,0.0281,1,80,80,80,
83abb3797019445c8021ea30ffaf38ad,11.3577,0.0200,0.8390,80,0.0104,0.0279,0,80,80,80,
614acfab47de4257989240024d7ee593,11.4290,0.0221,0.8399,80,0.0104,0.0279,1,80,80,80,
2ba57126d8314374a99ff5b80965f954,11.5002,0.0209,0.8394,80,0.0104,0.0280,0,80,80,80,
ba7d16b529844bb2a96fa140a3f38085,11.5717,0.0204,0.8411,80,0.0104,0.0279,1,80,80,80,
9cc3332a5d304269838da08c0132da48,11.6433,0.0182,0.8322,80,0.0103,0.0281,0,80,80,80,
3122080b4b3b4e11b8de2e379e4807ce,11.7148,0.0261,0.8493,80,0.0104,0.0280,1,80,80,80,
4126faf8b9e64181bb8da5004ed51b9b,11.7875,0.0252,0.8469,80,0.0104,0.0280,0,80,80,80,
83ecec086bff44be83d9c58c4c6ef371,11.8577,0.0266,0.8463,80,0.0104,0.0281,1,80,80,80,
72e5aecd3cc445afb949a46e59bef4c8,11.9287,0.0263,0.8466,80,0.0104,0.0280,0,80,80,80,
aebd30dc30f445c4b5b2ec260f88e647,12.0002,0.0260,0.8444,80,0.0104,0.0280,1,80,80,80,
d4c1f59a3c0b4bc88f896da8a7c3ffed,12.0725,0.0340,0.8447,80,0.0103,0.0194,0,80,80,80,
ae3f378812354aec99fefdb39d739d9b,12.1434,0.0253,0.8354,80,0.0103,0.0194,1,80,80,80,
3e4d3012180f4bb7a71b04f7628d5316,12.2146,0.0247,0.8364,80,0.0103,0.0194,0,80,80,80,
f34053f07ab349c38ebd5e5a25333ca8,12.2859,0.0261,0.8306,80,0.0102,0.0195,1,80,80,80,
4564c1537db9470188859b2976fcc91b,12.3587,0.0237,0.8209,80,0.0101,0.0195,0,80,80,80,
86cc8e373ec34c04977b47affd766f42,12.4287,0.0191,0.8051,80,0.0099,0.0195,1,80,80,80,
8ccdf200614c45ea8183d251eed20fbf,12.5002,0.0179,0.7974,80,0.0099,0.0194,0,80,80,80,
5d50ef10aa054cf3a9498cb85e8000d3,12.5723,0.0254,0.7884,80,0.0097,0.0195,1,80,80,80,
c8b56e47ab7942e9b7dad89c34d37cd0,12.6439,0.0240,0.7832,80,0.0096,0.0187,0,80,80,80,
409d6e9a53194f4daaa233931e1d1dd5,12.7154,0.0231,0.7798,80,0.0096,0.0187,1,80,80,80,
f8677afd066c4310ac122e337f4a3300,12.7867,0.0216,0.7571,80,0.0093,0.0187,0,80,80,80,
6fed1fddd0ed49f8b496424744b6e18a,12.8580,0.0207,0.7349,80,0.0090,0.0187,1,80,80,80,
