rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
632eddbaafed461ea9c01aef49666bff,5.0054,0.0392,0.9783,80,0.0119,0.1204,1,80,80,80,
6ec4f63f71bc442881e7de348b986125,5.0723,0.0321,0.9747,80,0.0119,0.1203,0,80,80,80,
ce25b94fd3944aaca7ffb4dd4bcaf309,5.1437,0.0202,0.9737,80,0.0121,0.1203,1,80,80,80,
3ddd0c35d78d4dc09601fa17158a4d2f,5.2145,0.0223,0.9753,80,0.0121,0.1203,0,80,80,80,
19622408441343208fdb676904d958d6,5.2863,0.0246,0.9761,80,0.0120,0.1203,1,80,80,80,
d25a127f19c3471e92ec3afca755f116,5.3585,0.0262,0.9900,80,0.0122,0.1203,0,80,80,80,
fc181738b96748eb854910d8b42f1eb2,5.4294,0.0353,0.9819,80,0.0120,0.1203,1,80,80,80,
6c6b52e4c28a445cbcb6612b55709afb,5.5004,0.0267,0.9802,80,0.0121,0.1203,0,80,80,80,
ad78bc32332b44af8d0efb3232887d29,5.5717,0.0279,0.9802,80,0.0121,0.1203,1,80,80,80,
71cbe29837134b849d6fc062d0863ecc,5.6430,0.0182,0.9717,80,0.0121,0.1203,0,80,80,80,
b2ea880b34c441c4bb9fcb74e2f7c01a,5.7150,0.0290,0.9794,80,0.0120,0.1205,1,80,80,80,
5b7229e47e2c4f1b960e85bdcbf15131,5.7866,0.0190,0.9737,80,0.0121,0.1108,0,80,80,80,
dff536ca7afa4dcea4c316aee1acc8c6,5.8588,0.0792,0.9297,80,0.0108,0.0204,1,80,80,80,
d3bc842684994200a215fd9cb15ba66d,5.9289,0.0268,0.8705,80,0.0107,0.0202,0,80,80,80,
6465b66144a6468184bcb7e8f33f9374,6.0008,0.0271,0.8684,80,0.0106,0.0210,1,80,80,80,
a2cca43dee704b3bb97770cf62bfa87f,6.0716,0.0179,0.8765,80,0.0109,0.0210,0,80,80,80,
e1f2299a73294cf2b5bd9c5082d12344,6.1433,0.0275,0.8892,80,0.0109,0.0221,1,80,80,80,
cc12c8749a684c1e94b09a41c6e1db4d,6.2151,0.0268,0.8873,80,0.0109,0.0221,0,80,80,80,
157fb409efdf425fa990f2661ef226a9,6.2860,0.0234,0.8744,80,0.0108,0.0221,1,80,80,80,
b2c3e3944afc4f26983834e8f0f5d561,6.3586,0.0248,0.8449,80,0.0104,0.0221,0,80,80,80,
dc69641539a44f22a6cf06ccbfd68707,6.4295,0.0321,0.8260,80,0.0100,0.0221,1,80,80,80,
3eab0ad3a315453ab7704ec8e06aa527,6.5006,0.0232,0.7903,80,0.0097,0.0221,0,80,80,80,
eebd690630ef41f0890fb12fb6c0e4eb,6.5725,0.0228,0.7601,80,0.0093,0.0221,1,80,80,80,
039af21bac4b4e14927f249cded8e048,6.6429,0.0241,0.7311,80,0.0089,0.0220,0,80,80,80,
d2249a8c0e1547a09a59210da6be4b1c,6.7152,0.0262,0.7007,80,0.0085,0.0220,1,80,80,80,
803f0c5dc44c44f8bc6fac459cd5cba1,6.7866,0.0296,0.6672,80,0.0081,0.0222,0,80,80,80,
9a25b13ee74841b2844a94dc9100eeec,6.8579,0.0207,0.6325,80,0.0077,0.0220,1,80,80,80,
60d4e175c15e4a8abb36e390c12b7f1f,6.9288,0.0374,0.5984,80,0.0071,0.0110,0,80,80,80,
5b65b1f48fb547edbac446dae4654bc0,11.0040,0.0213,0.8403,80,0.0104,0.0338,1,80,80,80,
606e90e799064f868e449c765ddaa494,11.0721,0.0170,0.8665,80,0.0108,0.0338,0,80,80,80,
effe7697b5784bd5b281ff3ba5475e18,11.1433,0.0262,0.8940,80,0.0110,0.0338,1,80,80,80,
3837cc45fc8246e699aeb361f4fc67d9,11.2148,0.0241,0.8863,80,0.0109,0.0338,0,80,80,80,
4ef3393725df475889f1b790c679c387,11.2861,0.0280,0.8859,80,0.0109,0.0338,1,80,80,80,
87e48320a2a148949e9ce3df82d01b1a,11.3580,0.0326,0.8679,80,0.0106,0.0213,0,80,80,80,
073e1e2e3e6f407081ce488b9f65e7b9,11.4291,0.0234,0.8529,80,0.0105,0.0213,1,80,80,80,
75cd44c66a8248359fd1d425c0d54068,11.5002,0.0245,0.8525,80,0.0105,0.0213,0,80,80,80,
7d34de6009ce4c7f905bb70802f6c356,11.5716,0.0262,0.8534,80,0.0105,0.0213,1,80,80,80,
08e7a440eda443c89b33d896ec953fbc,11.6436,0.0352,0.8370,80,0.0101,0.0213,0,80,80,80,
7c75ded16390446ab2ece747cde42039,11.7149,0.0281,0.8143,80,0.0100,0.0213,1,80,80,80,
896f9fa3f25e47c8b59d2a98b70efc7a,11.7865,0.0198,0.7845,80,0.0097,0.0214,0,80,80,80,
40a94136c6ab437a88fd4d7e3586ae35,11.8576,0.0240,0.7920,80,0.0097,0.0212,1,80,80,80,
b4a0432451ef41908f5977721ecf809a,11.9288,0.0251,0.7903,80,0.0097,0.0212,0,80,80,80,
745df06c8c0347fa9fba468b3a2e11ec,12.0008,0.0258,0.7922,80,0.0097,0.0212,1,80,80,80,
86ba2e1da86b46e8b52c697cc42fadcb,12.0724,0.0180,0.7834,80,0.0097,0.0212,0,80,80,80,
8fb5f80ac3744001a8f23f94a5ee6c57,12.1437,0.0181,0.7882,80,0.0097,0.0215,1,80,80,80,
7733d86a87944c8daccfe2f3b9a85482,12.2149,0.0211,0.7887,80,0.0097,0.0215,0,80,80,80,
6c062f2150bb47b880cbde052a29e4f5,12.2861,0.0208,0.7818,80,0.0096,0.0215,1,80,80,80,
1f6a00767e5b4d609c04a99210058c27,12.3578,0.0196,0.7752,80,0.0096,0.0215,0,80,80,80,
f8f30a82f15f4300a11676f4519e96f5,12.4293,0.0163,0.7711,80,0.0096,0.0215,1,80,80,80,
6247ff8595af4f6d802b008197b6be05,12.5002,0.0219,0.7983,80,0.0098,0.0215,0,80,80,80,
d3af3c3e27764a04848d956c8e72f48e,12.5724,0.0226,0.8135,80,0.0100,0.0215,1,80,80,80,
bca199faa3704b1a8a9af20801f4f5d8,12.6433,0.0219,0.7901,80,0.0097,0.0216,0,80,80,80,
bd150915df1349f5aaa0b3943e7a53e0,12.7153,0.0199,0.7684,80,0.0095,0.0214,1,80,80,80,
866301a484a3464888f94685e0ea7c23,12.7860,0.0227,0.7414,80,0.0091,0.0216,0,80,80,80,
46a9561974a24df295fe7773a1a0ac93,12.8579,0.0255,0.7096,80,0.0087,0.0190,1,80,80,80,
60a203acb5f64df993deda0b985866a2,12.9293,0.0282,0.6740,80,0.0082,0.0107,0,80,80,80,
cc220252ded34c71966d0e8d950e4cbd,17.0049,0.0205,0.7518,80,0.0093,0.0208,1,80,80,80,
1a95efb77f0b4387b9d980cd1c02a764,17.0716,0.0163,0.7800,80,0.0097,0.0223,0,80,80,80,
12a925459f0f434eac4cbc56796a36a6,17.1435,0.0218,0.8174,80,0.0101,0.0223,1,80,80,80,
cbf3327a41bd407dbdfdc20882daaaff,17.2146,0.0215,0.8420,80,0.0104,0.0223,0,80,80,80,
4f1baace6f40484cb2b4f10574a23a42,17.2858,0.0263,0.8686,80,0.0107,0.0223,1,80,80,80,
345cfc50507044a886b69868f11c150b,17.3579,0.0262,0.8684,80,0.0107,0.0222,0,80,80,80,
212256ca73b7469a8aa45917aaa9b472,17.4288,0.0225,0.8631,80,0.0106,0.0223,1,80,80,80,
4b026c1077d04f96ad7de53c193a6ad1,17.5002,0.0310,0.8715,80,0.0106,0.0245,0,80,80,80,
e62c79c440424a66a604fa9fcb73158f,17.5721,0.0223,0.8645,80,0.0107,0.0245,1,80,80,80,
76aa9308f4254846a0031b49fdd2c24f,17.6434,0.0219,0.8681,80,0.0107,0.0245,0,80,80,80,
556be8bebb6b4d8f8ac0eb89be23fae0,17.7153,0.0210,0.8680,80,0.0107,0.0245,1,80,80,80,
d8f47fcaf5aa4a7581c2c6e68fe80b64,17.7865,0.0249,0.8676,80,0.0107,0.0245,0,80,80,80,
b94ccd88cdd7474b9617e05f5e19a63d,17.8578,0.0202,0.8781,80,0.0109,0.0245,1,80,80,80,
1c11a917d09d4ad895346f2934d2cc65,17.9288,0.0220,0.8960,80,0.0111,0.0245,0,80,80,80,
2842a8456bbf4ee2b2e40f596a520396,18.0001,0.0261,0.9147,80,0.0112,0.0245,1,80,80,80,
b268d1f1219a4960bec35367868edc32,18.0718,0.0191,0.8972,80,0.0111,0.0245,0,80,80,80,
803d78b7be884392a3045d9596127a43,18.1435,0.0198,0.8686,80,0.0107,0.0245,1,80,80,80,
