rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
f991fa9e1a4142b4acdf101227434e73,5.0054,0.0302,0.8433,80,0.0103,0.0287,1,80,80,80,
003399c7e3414a8c9dbef45e1e0e5c32,5.0715,0.0341,0.8608,80,0.0105,0.0245,0,80,80,80,
104701d167cf4d08a0af88e04cfbb0d8,5.1438,0.0213,0.8586,80,0.0106,0.0245,1,80,80,80,
83cc69ed52784f78aae32db70d7d06df,5.2153,0.0206,0.8618,80,0.0106,0.0245,0,80,80,80,
02ab683a22c8490fa12b6a27b18f5643,5.2864,0.0244,0.8673,80,0.0107,0.0245,1,80,80,80,
181c93f8dbae4dcc9e3b9048b2e1236c,5.3582,0.0265,0.8672,80,0.0106,0.0245,0,80,80,80,
c358b748f5814e1b828404f5a344ce43,5.4287,0.0287,0.8744,80,0.0107,0.0245,1,80,80,80,
5bf81eac86a645f9ac63c64043e2b297,5.5004,0.0273,0.8730,80,0.0107,0.0245,0,80,80,80,
a33b217025c84a73a1f50444631b5e1c,5.5725,0.0290,0.8766,80,0.0107,0.0243,1,80,80,80,
5c1a919d8b5a46908bec720bd9d3ac50,5.6438,0.0222,0.8689,80,0.0107,0.0245,0,80,80,80,
db298f8507a74bacaaf4c76a943acce0,5.7148,0.0270,0.8721,80,0.0107,0.0245,1,80,80,80,
99ca10ae4f12411bb5bd064f4e0a8bc7,5.7865,0.0189,0.8714,80,0.0108,0.0229,0,80,80,80,
fb5afd62468c4909ad4af36fec67bdf5,5.8574,0.0255,0.8924,80,0.0110,0.0240,1,80,80,80,
d805c7bca3a14be0bb55106e04332398,5.9293,0.0268,0.8962,80,0.0110,0.0239,0,80,80,80,
4ef48e045eef46a9931ac43a43ac9ae1,6.0002,0.0297,0.8995,80,0.0110,0.0240,1,80,80,80,
ef86255ea39e475aac676c160427d31a,6.0720,0.0244,0.8927,80,0.0110,0.0239,0,80,80,80,
e6bade94f7b1434a874e300bca3e17ee,6.1442,0.0277,0.8892,80,0.0109,0.0239,1,80,80,80,
3b6e93d826ae4864abe31e0e5458be14,6.2150,0.0197,0.8754,80,0.0108,0.0239,0,80,80,80,
e31593bf53a84b69ad6ee83cffc4ef1c,6.2862,0.0277,0.8696,80,0.0107,0.0239,1,80,80,80,
