rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
19a13ecd825c4a7283bdef28ea268716,5.0038,0.0341,0.9332,80,0.0114,0.1133,1,80,80,80,
2be9b06f4fb347f7aeb2d871c5139193,5.0716,0.0305,0.9382,80,0.0115,0.1134,0,80,80,80,
e5ad9f8fa00b44a7a0ce58ce9b3edfce,5.1433,0.0244,0.9452,80,0.0117,0.1134,1,80,80,80,
b50c75db609245299a66ecd5631695aa,5.2145,0.0261,0.9453,80,0.0116,0.1134,0,80,80,80,
5e50ad27d5164536afd5dd9a06cd3b49,5.2860,0.0268,0.9582,80,0.0118,0.1134,1,80,80,80,
2d289e1eb367480d84fcf2150b177548,5.3579,0.0248,0.9576,80,0.0118,0.1133,0,80,80,80,
ae3776e662174dd6aae0fb78cd5aa476,5.4299,0.0276,0.9564,80,0.0118,0.1135,1,80,80,80,
7658d5ed5c664d8c93ee00949075ef06,5.5004,0.0199,0.9461,80,0.0117,0.1133,0,80,80,80,
324c9e237fa34511b0468865ecf0292a,5.5725,0.0279,0.9626,80,0.0118,0.1133,1,80,80,80,
6f467d3691484515ad1f85827b8b9d38,5.6432,0.0198,0.9528,80,0.0118,0.1134,0,80,80,80,
17027c383ae74909b11b8cd5470c51fa,5.7151,0.0193,0.9672,80,0.0120,0.1134,1,80,80,80,
2d9df7b2ae9244b0b1f417ab4dc4c4bc,5.7862,0.1197,0.9719,80,0.0108,0.0242,0,80,80,80,
4b2b149f7bf34690bdd571c17cb4cbbc,5.8575,0.0682,0.9110,80,0.0107,0.0199,1,80,80,80,
8b75d197af3d4d6cadf5e4873de38d3b,5.9289,0.0236,0.8598,80,0.0106,0.0198,0,80,80,80,
9c5540b656a34968a85116b6fdc44268,6.0010,0.0246,0.8604,80,0.0106,0.0197,1,80,80,80,
b8cf7b176b83424d82bcdee69cb6b776,6.0718,0.0254,0.8669,80,0.0107,0.0202,0,80,80,80,
efce079402164632b3c211f5930b36d8,6.1430,0.0266,0.8691,80,0.0107,0.0204,1,80,80,80,
b052c347b2d145eda379a4a8792d0697,6.2146,0.0194,0.8534,80,0.0106,0.0202,0,80,80,80,
dd38fa521287453b8e2ac1e61b092bdc,6.2859,0.0199,0.8454,80,0.0104,0.0204,1,80,80,80,
dcde8513840d4e7c82337005f4b1448b,6.3573,0.0191,0.8374,80,0.0104,0.0204,0,80,80,80,
d0efb25feae64371b8ff41a519238065,6.4292,0.0350,0.8391,80,0.0102,0.0204,1,80,80,80,
ee8cf5d113234ab6bead7d8d1408cb87,6.5001,0.0247,0.8218,80,0.0101,0.0204,0,80,80,80,
ef32cb019064448488840d7b41a96970,6.5716,0.0341,0.8155,80,0.0099,0.0204,1,80,80,80,
8bc36e14ed70451193d5c10ee5986740,6.6436,0.0286,0.8041,80,0.0098,0.0204,0,80,80,80,
3722bed3b3304b8fac0d891eae92ccec,6.7149,0.0243,0.7911,80,0.0097,0.0204,1,80,80,80,
2959a8c17c9a40a9b950314744bda7c0,6.7862,0.0191,0.7630,80,0.0094,0.0204,0,80,80,80,
ea43e8dc6920495ba0517de75e1667d9,6.8579,0.0201,0.7418,80,0.0091,0.0202,1,80,80,80,
2f5bf70f57854c78b70795775665e382,6.9295,0.0266,0.7057,80,0.0086,0.0115,0,80,80,80,
61ab5a8c3c92401eaf0a924495916ecd,11.0039,0.0321,0.8206,80,0.0100,0.0202,1,80,80,80,
5263d812af6a4026acc57bb5eea4572f,11.0720,0.0211,0.8551,80,0.0106,0.0252,0,80,80,80,
977002ddf50b497883cb10817f827997,11.1439,0.0233,0.8893,80,0.0110,0.0253,1,80,80,80,
2e1cc9ac59c04ecfadd59ed594563d83,11.2145,0.0244,0.8933,80,0.0110,0.0251,0,80,80,80,
0bb473d41bf04ff8b2251227c7fe6926,11.2874,0.0272,0.8934,80,0.0110,0.0251,1,80,80,80,
d1e369c67074460c82737158f22ffb71,11.3580,0.0199,0.8741,80,0.0108,0.0251,0,80,80,80,
dc5a8b65cadc473998403de992d5cd67,11.4292,0.0295,0.8876,80,0.0109,0.0251,1,80,80,80,
ffa19153620d4ba0a27df615af0c24a7,11.5005,0.0216,0.8698,80,0.0107,0.0251,0,80,80,80,
f25775fb1d2749f2b429c1616ef34805,11.5723,0.0277,0.8731,80,0.0107,0.0251,1,80,80,80,
b9ff86f94e1c4c929325d8c5987cf59d,11.6435,0.0186,0.8674,80,0.0107,0.0251,0,80,80,80,
35c6e1a61d54430db8555eeb3ac6d447,11.7152,0.0275,0.8748,80,0.0107,0.0253,1,80,80,80,
483355ee5ba14066b20e5ccdd1173244,11.7865,0.0182,0.8656,80,0.0107,0.0251,0,80,80,80,
