rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
f6eb978cb2f149e58d332b94378dd134,3.0032,0.0688,0.2503,50,0.0037,0.0077,1,50,50,50,
376917338bcb4794ba07cd32fd741215,3.0672,0.0119,0.1879,50,0.0036,0.0077,0,50,50,50,
8159010ab0f34b979f996bd734e280ef,3.1343,0.0134,0.1757,50,0.0033,0.0065,0,50,50,50,
502c0cd129504230b490c41c4743b060,3.2008,0.0107,0.1610,50,0.0031,0.0054,0,50,50,50,
7564c02de4cd41bb836f64fbd0f6a19a,3.2673,0.0087,0.1548,50,0.0030,0.0054,0,50,50,50,
f761238a053a441db249aba7a4a62d84,3.3343,0.0104,0.1567,50,0.0030,0.0054,0,50,50,50,
b28daf0231c045ad97040f2d6a1b3361,3.4002,0.0106,0.1558,50,0.0030,0.0054,0,50,50,50,
24501af41b834c5e8b216a457c630392,3.4668,0.0098,0.1544,50,0.0030,0.0057,0,50,50,50,
6e3d181083ee44a88e84a055009b5ff2,3.5344,0.0104,0.1580,50,0.0030,0.0062,0,50,50,50,
b82e8ca243af4a6793e1f5e47dc363ae,3.6001,0.0097,0.1659,50,0.0032,0.0065,0,50,50,50,
bcca4f403eba42f89a421055efa127cb,3.6674,0.0120,0.1751,50,0.0033,0.0065,1,50,50,50,
5bdd0fc6588d4054976aa8434ed97ffc,3.7343,0.0091,0.1637,50,0.0032,0.0064,0,50,50,50,
0045ee0a09dc4b2f9828cc981acbf39a,3.8003,0.0102,0.1594,50,0.0030,0.0067,0,50,50,50,
e4e7eb5357104ac880c5a9c3fbb56a54,3.8670,0.0084,0.1556,50,0.0030,0.0067,0,50,50,50,
2b694565e7f247efa3d638ce771aa99a,3.9336,0.0117,0.1636,50,0.0031,0.0090,0,50,50,50,
11a3abb2af4e4911a9bc4c8ac37f098b,4.0008,0.0103,0.1560,50,0.0030,0.0090,0,50,50,50,
4d8e202d8b204860ad3c8e715c896098,4.0673,0.0097,0.1546,50,0.0030,0.0090,0,50,50,50,
a9037cf292ed46ddb4c342098aca136a,4.1343,0.0110,0.1556,50,0.0030,0.0053,0,50,50,50,
c92c0d43a0c046f2ba946db89d74da37,4.2003,0.0104,0.1563,50,0.0030,0.0054,0,50,50,50,
b79540b6fcd94ac89b9e697a7f26f686,4.2674,0.0084,0.1625,50,0.0031,0.0062,0,50,50,50,
7e419b220c614994a346c4929afc5189,4.3336,0.0104,0.1726,50,0.0033,0.0063,1,50,50,50,
8e48495cf34b46bb9fd28de02988da9e,4.4007,0.0100,0.1649,50,0.0032,0.0063,0,50,50,50,
d0398b2ae33a40b393b13d9f3c3e201c,4.4674,0.0100,0.1583,50,0.0030,0.0056,0,50,50,50,
1939ee711eff42e3a58080fe4d0f15d9,4.5341,0.0086,0.1546,50,0.0030,0.0056,0,50,50,50,
