rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
31e2f258725f4494a31bbf9b27a3632d,3.0032,0.0093,0.1348,50,0.0026,0.0046,0,50,50,50,
41ed7d847de640438c431356f1b14752,3.0676,0.0086,0.1555,50,0.0030,0.0062,0,50,50,50,
41b5ca142394406b96f9513740b6f9d9,3.1343,0.0103,0.1573,50,0.0030,0.0062,0,50,50,50,
ae1b744e3c5f4c319366a813cf67b309,3.2007,0.0110,0.1575,50,0.0030,0.0062,0,50,50,50,
9af203aa81664e4987ed0e778bf40c06,3.2671,0.0104,0.1576,50,0.0030,0.0063,0,50,50,50,
f25c860e1067440185f61ffe6dde5ce1,3.3334,0.0108,0.1576,50,0.0030,0.0063,0,50,50,50,
4d09abb1cfbe4baeb3210f8ad3c5fb79,3.4009,0.0097,0.1561,50,0.0030,0.0063,0,50,50,50,
5fb31d46f77b413a982be142f10b1d8c,3.4672,0.0097,0.1539,50,0.0029,0.0062,0,50,50,50,
f277275a7071433abe17643573d36fa4,3.5344,0.0114,0.1541,50,0.0029,0.0048,0,50,50,50,
58e6e76fe6c34d71b9a5d9bb5df16d4c,3.6001,0.0098,0.1527,50,0.0029,0.0049,0,50,50,50,
1a6a36e619d5478fbeda3e56c4afc221,3.6672,0.0100,0.1525,50,0.0029,0.0050,0,50,50,50,
5429eb90e5824579ac8bca76cc7144c4,3.7334,0.0082,0.1503,50,0.0029,0.0050,0,50,50,50,
fd5ed7980b7c4698895e1bffcb6c83cf,3.8002,0.0084,0.1499,50,0.0029,0.0049,0,50,50,50,
9eff230c332747a19238ca6ab782ac40,3.8671,0.0082,0.1503,50,0.0029,0.0062,0,50,50,50,
4711647481cc4ab0aed759cbd77d0d45,3.9338,0.0079,0.1496,50,0.0029,0.0062,0,50,50,50,
449765ed50bb4544bbefccdf4f6c7ded,4.0007,0.0112,0.1527,50,0.0029,0.0062,0,50,50,50,
4e518695aa694726bfa46a1c839c0f7a,4.0670,0.0080,0.1496,50,0.0029,0.0063,0,50,50,50,
6dad3af90411440b88b7b20e4aad8d6c,4.1339,0.0111,0.1528,50,0.0029,0.0062,0,50,50,50,
eff69c60d1364a2dbcbbcd0a529cb6ea,4.2003,0.0080,0.1494,50,0.0029,0.0062,0,50,50,50,
e843ccdb96da4c69be21ca30fe200aaf,4.2672,0.0110,0.1512,50,0.0029,0.0051,0,50,50,50,
17576835b3c146209b9342504caf307b,4.3335,0.0081,0.1482,50,0.0029,0.0048,0,50,50,50,
98c32c84eb51475e8f73102c41ecad26,4.4005,0.0097,0.1499,50,0.0029,0.0048,0,50,50,50,
1ada01ecfcf54c63b15dfcf3a3e53208,4.4671,0.0091,0.1492,50,0.0029,0.0048,0,50,50,50,
bd3a933db68d4ca48f1433b058a23e16,4.5341,0.0080,0.1482,50,0.0029,0.0048,0,50,50,50,
7999564899a245c19418e1b0aa9c9158,4.6010,0.0098,0.1514,50,0.0029,0.0064,0,50,50,50,
0e4f0521fc5b43bebb28f3dd52961906,4.6668,0.0098,0.1516,50,0.0029,0.0064,0,50,50,50,
e9fc5c8d02a74439b17d7821502a4d6d,4.7335,0.0106,0.1508,50,0.0029,0.0048,0,50,50,50,
c60a335cbbd34471919f43ab8b3585b7,4.8003,0.0097,0.1500,50,0.0029,0.0048,0,50,50,50,
59dc06f6d0a64da79ad2d417227e966a,4.8669,0.0091,0.1494,50,0.0029,0.0048,0,50,50,50,
f48f2eb19d49443b85d025bcfb49fc30,4.9340,0.0080,0.1498,50,0.0029,0.0062,0,50,50,50,
35443bd6ec0d415b8d6a42abc3d11860,5.0010,0.0097,0.1527,50,0.0029,0.0062,0,50,50,50,
8b3e6183502247069b29129e9bff49b9,5.0670,0.0112,0.1528,50,0.0029,0.0061,0,50,50,50,
14b5266c523349b4b5b6b36d0a659ad5,5.1344,0.0110,0.1514,50,0.0029,0.0049,0,50,50,50,
4f7231af4f9645bca1034e61aa0ab1c2,5.2007,0.0081,0.1484,50,0.0029,0.0048,0,50,50,50,
f62b879fcd6d4705843984bde6084d8a,5.2668,0.0080,0.1483,50,0.0029,0.0048,0,50,50,50,
0dfe95fac47e4fbfa28e70a188325ee2,5.3337,0.0098,0.1500,50,0.0029,0.0049,0,50,50,50,
8d066fec5cec41afb2370a17620d85dc,5.4005,0.0091,0.1492,50,0.0029,0.0049,0,50,50,50,
f1470730312e495cbc1f13aee70fb586,5.4675,0.0080,0.1482,50,0.0029,0.0048,0,50,50,50,
304b0d4f9c974fc7b7aa18dd82c4f890,5.5334,0.0080,0.1486,50,0.0029,0.0050,0,50,50,50,
2c82d7c0ac6647b69b1317775d45cd18,5.6003,0.0098,0.1503,50,0.0029,0.0050,0,50,50,50,
8554369750274175a90a1db781346b5e,5.6672,0.0094,0.1494,50,0.0029,0.0048,0,50,50,50,
6630cff314844839b14a135d3d5d06ae,5.7343,0.0081,0.1483,50,0.0029,0.0048,0,50,50,50,
