rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
4eaa517a390d4f32a2dd7e36a6b74e77,5.0054,0.0202,0.6455,80,0.0079,0.1318,0,80,80,80,
98badd3276c440d394fdde0ea1c017b6,5.0717,0.0199,0.6478,80,0.0079,0.1318,0,80,80,80,
96fed5f0872a43ba9cb4bce3e28e6f04,5.1435,0.0154,0.6447,80,0.0080,0.1318,0,80,80,80,
40a429efa1e94d4c929e44375173a462,5.2145,0.1479,0.6482,80,0.0063,0.0188,0,80,80,80,
5197f1161ca449d8b3f78c4f6c8485f7,5.2863,0.0872,0.5764,80,0.0062,0.0126,0,80,80,80,
41bf3dabf3ce42008abd325f95245431,5.3582,0.0175,0.5043,80,0.0062,0.0126,0,80,80,80,
a57bb3d982da4d788ee1b3f6ae221747,5.4344,0.0225,0.5126,80,0.0062,0.0117,0,80,80,80,
dc1d5107169b43e288b9a470067d4e47,5.5006,0.0192,0.5041,80,0.0061,0.0117,0,80,80,80,
b1e75e4dd8a249ba8e70b5cbf06bc9cb,5.5716,0.0170,0.5025,80,0.0061,0.0117,0,80,80,80,
47e0b36b1e6b4f1b87dc3278b6ff73e1,5.6434,0.0189,0.5037,80,0.0061,0.0116,0,80,80,80,
13aba823b8d6455795129e7398c295e6,5.7147,0.0172,0.5028,80,0.0061,0.0116,0,80,80,80,
f76a74e11eb1497f9cf34c0ae2abeee2,5.7864,0.0191,0.5037,80,0.0061,0.0120,0,80,80,80,
258acaed949949b3be9032c8415e9789,5.8577,0.0168,0.5019,80,0.0061,0.0121,0,80,80,80,
b26d7d4ab51c4733a6105e2f100c770e,5.9289,0.0188,0.5035,80,0.0061,0.0121,0,80,80,80,
b077efe0adf640cdb882076a885c0be6,6.0009,0.0155,0.5018,80,0.0062,0.0120,0,80,80,80,
a054eca90cda4497803fd786bb746321,6.0723,0.0183,0.5034,80,0.0061,0.0120,0,80,80,80,
6f5180793cbb455583036a0ca52762ee,6.1433,0.0158,0.5018,80,0.0062,0.0121,0,80,80,80,
172377b5da8b44a59ba465681e53fc4b,6.2147,0.0186,0.5034,80,0.0061,0.0120,0,80,80,80,
ea0c5347b63c4c5192bc25aae0941c5c,6.2862,0.0155,0.5016,80,0.0062,0.0121,0,80,80,80,
62ed85c49e9940168d614bc65fef665c,6.3576,0.0183,0.5047,80,0.0062,0.0120,0,80,80,80,
117049c21c9146a38f3156dc9d75e7f2,6.4296,0.0154,0.5012,80,0.0061,0.0116,0,80,80,80,
