rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
13d1ad705bbf4c148f567b453ab64f69,5.0054,0.0145,0.1575,80,0.0018,0.0101,0,80,80,80,
96107e31cd084a1f830fd231b8862961,5.0718,0.0152,0.1658,80,0.0019,0.0062,0,80,80,80,
b2fb742d09034d6cb6def332be6dff95,5.1436,0.0111,0.1612,80,0.0019,0.0062,0,80,80,80,
ca0c15ee846849789e2c140b7ee9ce34,5.2144,0.0093,0.1556,80,0.0019,0.0056,0,80,80,80,
1e0f3237add244749b900b392348686a,5.2857,0.0087,0.1547,80,0.0018,0.0054,0,80,80,80,
6b6e35fcb93e441c9fd8e8cd422c173c,5.3576,0.0091,0.1551,80,0.0018,0.0055,0,80,80,80,
75c1c212811149e4a4767d51ed6bf180,5.4286,0.0085,0.1588,80,0.0019,0.0074,0,80,80,80,
c26abee920084ef7a601d531345094ba,5.5008,0.0085,0.1590,80,0.0019,0.0074,0,80,80,80,
84e9d49bcee54f52968967dc28cce494,5.5716,0.0119,0.1589,80,0.0019,0.0059,0,80,80,80,
864d1e9568014a4384ec9de8e85919df,5.6432,0.0095,0.1575,80,0.0019,0.0069,0,80,80,80,
5763de6372c8483995529f78a3ff9fda,5.7148,0.0107,0.1582,80,0.0019,0.0069,0,80,80,80,
60462e847a0c4877b5826c687fc5dadf,5.7868,0.0106,0.1566,80,0.0018,0.0056,0,80,80,80,
b55380cf6d00462692d76e6d9fe0e4dd,5.8574,0.0087,0.1549,80,0.0019,0.0056,0,80,80,80,
5faa4db014de48ec943024ebb80de197,5.9292,0.0089,0.1559,80,0.0019,0.0061,0,80,80,80,
eacaf41630a14e669c1eefc6bc05d0a4,6.0002,0.0087,0.1558,80,0.0019,0.0061,0,80,80,80,
abed94781b104dbf905bca9bd863ae5e,6.0719,0.0117,0.1584,80,0.0019,0.0058,0,80,80,80,
09ba363230b54dbaa78351b38661a5ba,6.1431,0.0095,0.1562,80,0.0019,0.0057,0,80,80,80,
7c3afd5a6c6549b1a04864aabf3e81f6,6.2145,0.0089,0.1553,80,0.0019,0.0056,0,80,80,80,
d9a0183a86724058815ec03f28010de1,6.2865,0.0093,0.1553,80,0.0018,0.0055,0,80,80,80,
bc5e1da8a5a3491a9229c9469e481d67,6.3577,0.0087,0.1547,80,0.0018,0.0054,0,80,80,80,
5791825ebb034dc7ba63092e5ebf4eb0,6.4295,0.0090,0.1589,80,0.0019,0.0073,0,80,80,80,
1b572ab06ea8403ebfb767d7e640b69f,6.5004,0.0086,0.1599,80,0.0019,0.0073,0,80,80,80,
8c3515be555d4180a909a4f2f8571aba,6.5724,0.0143,0.1618,80,0.0019,0.0060,0,80,80,80,
e474c58d3321467198cf3191b3e5266c,6.6436,0.0097,0.1561,80,0.0019,0.0056,0,80,80,80,
92048020ae614a2b8187f626cc7e1bb9,6.7146,0.0092,0.1573,80,0.0019,0.0063,0,80,80,80,
0754d41353ce4baeafe18ac1c4497f3c,6.7859,0.0105,0.1583,80,0.0019,0.0063,0,80,80,80,
afebe30e01454cc0b9694a8447931e96,6.8574,0.0111,0.1534,80,0.0018,0.0055,0,80,80,80,
8f80c43ddda04d1998c60ea50f6b965c,6.9288,0.0103,0.1403,80,0.0016,0.0025,0,80,80,80,
2ee993fb4b254c3e94696c6c2bc8227f,11.0042,0.0151,0.1551,80,0.0018,0.0070,0,80,80,80,
c9909b8e11ad49a3af0b21bd0efd6ac8,11.0718,0.0114,0.1580,80,0.0019,0.0059,0,80,80,80,
858b3f8f346b41b5b0684c98d1cf07f7,11.1434,0.0107,0.1570,80,0.0019,0.0056,0,80,80,80,
adf9abcb631f4cb0afaa05f15cef2d61,11.2144,0.0104,0.1567,80,0.0019,0.0056,0,80,80,80,
397d8a336eaa4cf7b3b247de8bc9c042,11.2861,0.0092,0.1555,80,0.0019,0.0056,0,80,80,80,
fc79871144204bd7b4bd389413091663,11.3572,0.0105,0.1565,80,0.0018,0.0055,0,80,80,80,
ab34a0aa9ad046e8a3dfa50fa307623f,11.4290,0.0092,0.1554,80,0.0019,0.0057,0,80,80,80,
b2c32cab6bea4317a26aaa6585d675c4,11.5001,0.0102,0.1575,80,0.0019,0.0063,0,80,80,80,
58dcc884e8854bfcb9b364f6c2def92d,11.5716,0.0093,0.1569,80,0.0019,0.0063,0,80,80,80,
2f662e2827a54da2b9b96f10ab530ced,11.6431,0.0111,0.1576,80,0.0019,0.0059,0,80,80,80,
901813ca54924802a2d92a1ad0d8f1ce,11.7145,0.0107,0.1570,80,0.0019,0.0058,0,80,80,80,
9f2313ac4c3644cf8b2e7702d4f70abc,11.7864,0.0093,0.1556,80,0.0019,0.0058,0,80,80,80,
295b09bade2d4de086bcc3bb1a44c4ac,11.8576,0.0106,0.1568,80,0.0019,0.0056,0,80,80,80,
2bec5a7aa8ad4c4493bbbf1caff4f4fd,11.9294,0.0093,0.1559,80,0.0019,0.0057,0,80,80,80,
b6d3b70de9d046e6a206dd6ff979cfa8,12.0006,0.0086,0.1550,80,0.0019,0.0057,0,80,80,80,
d014d790f48c44ae87189c078ab3140a,12.0724,0.0094,0.1565,80,0.0019,0.0078,0,80,80,80,
f63b2f2a6d254545b33f444be305ad03,12.1431,0.0091,0.1575,80,0.0019,0.0078,0,80,80,80,
011c8284d5ec4479ae1f87df0e6b9f10,12.2144,0.0112,0.1589,80,0.0019,0.0067,0,80,80,80,
ea6887b52ba24f6886748d8f9348635d,12.2858,0.0115,0.1579,80,0.0019,0.0060,0,80,80,80,
a2e7b175c048454cb7421cb7243128dd,12.3574,0.0108,0.1566,80,0.0018,0.0054,0,80,80,80,
ed68252fe62742219dcc24d0aee3102c,12.4295,0.0090,0.1548,80,0.0018,0.0054,0,80,80,80,
e5fd8fed12c14442879c2c5e40088872,12.5005,0.0102,0.1569,80,0.0019,0.0060,0,80,80,80,
870866f491f54373a7473150b35bd390,12.5719,0.0089,0.1561,80,0.0019,0.0061,0,80,80,80,
6d1a8cb239604ad78e17469104c8f8c4,12.6439,0.0100,0.1563,80,0.0019,0.0061,0,80,80,80,
c3c0d48f4cbc47e59660bd1ded33ba08,12.7148,0.0098,0.1563,80,0.0019,0.0057,0,80,80,80,
089f9e1b44544c6f8adfbe0df449f6ba,12.7859,0.0092,0.1554,80,0.0019,0.0057,0,80,80,80,
18715bec63044cbfb11f496f8675ff41,12.8581,0.0095,0.1505,80,0.0018,0.0054,0,80,80,80,
49a83b2e3b584946a608b1f7b1945caa,12.9290,0.0090,0.1384,80,0.0016,0.0019,0,80,80,80,
03110b065966477bab179f08f58db533,17.0055,0.0164,0.1552,80,0.0018,0.0063,0,80,80,80,
52a25d36e8444bc3b490ca85af808db7,17.0716,0.0115,0.1583,80,0.0019,0.0059,0,80,80,80,
39471d636cfa4fdca658505dbacbb784,17.1432,0.0106,0.1584,80,0.0019,0.0063,0,80,80,80,
5b6dde6e47204133abc7116e1a6afc64,17.2151,0.0096,0.1571,80,0.0019,0.0063,0,80,80,80,
d38d2681aa2c47039711675b3572328f,17.2862,0.0102,0.1595,80,0.0019,0.0065,0,80,80,80,
dc6167e16eac41d592f25deb764819a3,17.3577,0.0094,0.1587,80,0.0019,0.0065,0,80,80,80,
486b4931457c41f29f2ea0c48fda31f1,17.4293,0.0112,0.1588,80,0.0019,0.0066,0,80,80,80,
2434caa435c542b58f3acf7211bd7653,17.5001,0.0094,0.1565,80,0.0019,0.0066,0,80,80,80,
38bf37042491481abbeec318db4421d5,17.5715,0.0114,0.1579,80,0.0019,0.0060,0,80,80,80,
cfd842fa44e04d4ea1dd679f502c912a,17.6432,0.0084,0.1548,80,0.0019,0.0060,0,80,80,80,
1d117f36770a43b9a77c1eaf509e3fe2,17.7146,0.0097,0.1558,80,0.0018,0.0056,0,80,80,80,
95e2c4e1b98048698793974089513210,17.7863,0.0084,0.1593,80,0.0019,0.0063,0,80,80,80,
338eba91dabf4246b4269fb2f35dfa95,17.8576,0.0094,0.1605,80,0.0019,0.0063,0,80,80,80,
bac6b8355d3a4bfcb8ad140115eb102c,17.9287,0.0117,0.1583,80,0.0019,0.0058,0,80,80,80,
b698b6a5fcd44f96ac7a8eddd7b94404,18.0007,0.0105,0.1569,80,0.0019,0.0056,0,80,80,80,
b99ff20cd5ef4f64b2f4d07ec1c43e75,18.0715,0.0104,0.1567,80,0.0019,0.0057,0,80,80,80,
c1d95ed442a94e3aa379f2aa8b044b7c,18.1431,0.0092,0.1556,80,0.0019,0.0057,0,80,80,80,
3d9f249a5fff463ebc20166cd2588546,18.2143,0.0104,0.1567,80,0.0019,0.0055,0,80,80,80,
653d74831fd543beba726418c94dc15b,18.2861,0.0093,0.1559,80,0.0019,0.0061,0,80,80,80,
ccbbae48b88b4c9c848af070f8d0558d,18.3572,0.0102,0.1577,80,0.0019,0.0062,0,80,80,80,
47ad0a708c794e5785f3e3fe216c1598,18.4287,0.0098,0.1571,80,0.0019,0.0062,0,80,80,80,
eeb884ed5fe3475eab4f14c1fddbc998,18.5005,0.0111,0.1576,80,0.0019,0.0060,0,80,80,80,
bd1689eaef8d4fe19acbe44d2e2b4c20,18.5717,0.0108,0.1569,80,0.0018,0.0054,0,80,80,80,
25ad4cc9a8ff489199c9ad96b05d2ecd,18.6438,0.0092,0.1565,80,0.0019,0.0056,0,80,80,80,
4e72f484d5fa4b18b2d195d8989cd12d,18.7149,0.0086,0.1607,80,0.0019,0.0100,0,80,80,80,
2bd8c56bea0845da9155b5018376ae09,18.7858,0.0093,0.1608,80,0.0019,0.0100,0,80,80,80,
956f67d2cea74a4da6de611d086a7273,18.8574,0.0147,0.1565,80,0.0018,0.0062,0,80,80,80,
cd4a5680260f411db299af4f4649d51b,18.9288,0.0110,0.1407,80,0.0016,0.0020,0,80,80,80,
7d53185f669c4013ae0a3ea13f36b43f,23.0040,0.0136,0.1520,80,0.0018,0.0060,0,80,80,80,
e2fe16e444b64226be022a0f6866d83f,23.0716,0.0105,0.1567,80,0.0018,0.0056,0,80,80,80,
2f56b2a042c948a4a08779ec02285e9e,23.1433,0.0093,0.1556,80,0.0019,0.0056,0,80,80,80,
c24b6ded432b446eb6eb8d7991cd9951,23.2145,0.0086,0.1557,80,0.0019,0.0062,0,80,80,80,
4f22ab060cef448d9ce9b844e99e6fe0,23.2862,0.0094,0.1566,80,0.0019,0.0062,0,80,80,80,
4604d791c57b4fbfa7a8ee079398cc82,23.3576,0.0110,0.1591,80,0.0019,0.0062,0,80,80,80,
78c1bd5b9e574e00b324a574b61afe50,23.4287,0.0089,0.1571,80,0.0019,0.0062,0,80,80,80,
9231991642a247f69a4171ac81071829,23.5007,0.0144,0.1609,80,0.0019,0.0059,0,80,80,80,
fb1bdb24f2f84529a31abfb8a2302071,23.5718,0.0090,0.1552,80,0.0019,0.0054,0,80,80,80,
f2b0aef84a08453cb6ff1bbf2fca8972,23.6438,0.0091,0.1552,80,0.0018,0.0054,0,80,80,80,
8be691e364104ef099e74c1efa0460e2,23.7150,0.0086,0.1558,80,0.0019,0.0066,0,80,80,80,
d9706e4f42d94e7e9c4d1b92b0d6f458,23.7866,0.0091,0.1565,80,0.0019,0.0066,0,80,80,80,
5f4160cc1f2b4505ad4834d99fd4a2a7,23.8577,0.0114,0.1580,80,0.0019,0.0057,0,80,80,80,
