rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
7ce45b294b9c429d86c6df65bc78a1f2,5.0054,0.0158,0.1550,80,0.0018,0.0060,0,80,80,80,
1db16f8caeb64afd96b3c65e30d22b51,5.0718,0.0107,0.1576,80,0.0019,0.0060,0,80,80,80,
19618f746d4c49bcb66ea962fee9b058,5.1436,0.0103,0.1575,80,0.0019,0.0067,0,80,80,80,
9df8ab7ad8a043e1b06f94c4b47864cb,5.2148,0.0094,0.1575,80,0.0019,0.0067,0,80,80,80,
4857f2fc0a614d25b7fe9125adea8781,5.2864,0.0114,0.1586,80,0.0019,0.0060,0,80,80,80,
0685bd071768484083b4a864738cbab6,5.3573,0.0099,0.1568,80,0.0019,0.0058,0,80,80,80,
d2f54bb5c45e4f1387058f8ab7e9ac9a,5.4292,0.0091,0.1557,80,0.0019,0.0058,0,80,80,80,
8a93199d2cbf44c696256019d8a8578f,5.5002,0.0105,0.1573,80,0.0019,0.0058,0,80,80,80,
cfa5f14a5b33462eaa6fe489472d2e1f,5.5719,0.0095,0.1564,80,0.0019,0.0057,0,80,80,80,
cb7a92612e4649cfa82b713a6ce64386,5.6435,0.0107,0.1583,80,0.0019,0.0071,0,80,80,80,
7004c80ff0b941adb386d6a9669b5327,5.7144,0.0088,0.1567,80,0.0019,0.0071,0,80,80,80,
111e9ffaa51049d8b44a9e5f842f27fc,5.7863,0.0122,0.1602,80,0.0019,0.0068,0,80,80,80,
95daa33552d449a0a9888b7f914a5d97,5.8580,0.0097,0.1578,80,0.0019,0.0068,0,80,80,80,
409993c815ae4f1288997e725254c3cd,5.9291,0.0105,0.1574,80,0.0019,0.0058,0,80,80,80,
9959f9c529df46aabdb3caf76a82d117,6.0010,0.0097,0.1565,80,0.0019,0.0059,0,80,80,80,
51414cb97bc549a68ace1406264b0eaa,6.0720,0.0094,0.1561,80,0.0019,0.0059,0,80,80,80,
3c6ab1f6cd83489c9e6811c735f1103d,6.1433,0.0108,0.1585,80,0.0019,0.0065,0,80,80,80,
92bd46a210434af098c01af1e118fc10,6.2154,0.0093,0.1574,80,0.0019,0.0065,0,80,80,80,
2dd895eef6404b9692eff12afa186977,6.2865,0.0103,0.1589,80,0.0019,0.0061,0,80,80,80,
9cd2993f4e8b4a3a9c20b07ca2be9188,6.3581,0.0095,0.1584,80,0.0019,0.0061,0,80,80,80,
e41e874aaabd4730b603537633d8f3df,6.4292,0.0093,0.1568,80,0.0019,0.0059,0,80,80,80,
4b5d353f99f2492fbbd17c9a1723a26d,6.5006,0.0088,0.1565,80,0.0019,0.0059,0,80,80,80,
f66e208b4023435082d13e1e647018d0,6.5716,0.0092,0.1567,80,0.0019,0.0060,0,80,80,80,
639e3f978f0e4e14847e9c90e9fe295a,6.6439,0.0097,0.1583,80,0.0019,0.0067,0,80,80,80,
858e5145638848feb785aebcb22b2ad6,6.7151,0.0098,0.1586,80,0.0019,0.0067,0,80,80,80,
4d69aeeaeb6348f08ae1cab3d17d8887,6.7862,0.0123,0.1603,80,0.0019,0.0065,0,80,80,80,
94bb1e759bec4e328e14e19ca674fd33,6.8582,0.0103,0.1528,80,0.0018,0.0060,0,80,80,80,
e8e36b36d21f48238366399efa1387f2,6.9287,0.0109,0.1409,80,0.0016,0.0025,0,80,80,80,
a792e867191844a38f0f05dfa36f8af6,11.0020,0.0140,0.1637,80,0.0019,0.0114,0,80,80,80,
344e6fb99f094587b69c26857b3d0c2a,11.0716,0.0146,0.1614,80,0.0019,0.0060,0,80,80,80,
3be1f5d919074b42b701cefa5cea7c2f,11.1439,0.0098,0.1576,80,0.0019,0.0064,0,80,80,80,
f9e092f19c7c4c04a62a6710bde3f6d8,11.2151,0.0093,0.1574,80,0.0019,0.0064,0,80,80,80,
