idx,t_rel_s,latency_s,status,ttft_s
0,0.6011,0.1663,ok,0.0127
1,45.0292,0.1715,ok,0.0148
2,45.4012,0.1600,ok,0.0242
3,46.0009,0.1816,ok,0.0226
4,46.4052,0.1748,ok,0.0364
5,46.8006,0.1634,ok,0.0113
6,47.1115,0.1643,ok,0.0118
7,48.3833,0.1764,ok,0.0119
8,48.5244,0.1902,ok,0.0120
9,48.5721,0.1811,ok,0.0123
10,49.0007,0.1959,ok,0.0106
11,49.0424,0.1976,ok,0.0141
12,49.0794,0.1948,ok,0.0109
13,49.2373,0.1863,ok,0.0112
14,49.3165,0.1773,ok,0.0103
15,49.5140,0.1945,ok,0.0102
16,49.5538,0.1958,ok,0.0127
17,49.6324,0.1840,ok,0.0123
18,50.0338,0.1881,ok,0.0168
19,50.1332,0.1577,ok,0.0110
20,50.3012,0.1529,ok,0.0176
21,50.4683,0.1704,ok,0.0286
22,50.7340,0.1653,ok,0.0118
23,51.1158,0.1909,ok,0.0150
24,51.1735,0.1820,ok,0.0114
25,51.4319,0.1867,ok,0.0144
26,51.6329,0.1907,ok,0.0124
27,51.6613,0.1839,ok,0.0107
28,52.1739,0.1694,ok,0.0128
29,52.3455,0.1939,ok,0.0158
30,52.4029,0.2094,ok,0.0190
31,52.5467,0.2322,ok,0.0126
32,52.5753,0.2246,ok,0.0302
33,52.6615,0.2008,ok,0.0104
34,52.7193,0.2092,ok,0.0110
35,52.7763,0.1840,ok,0.0116
36,53.0256,0.2065,ok,0.0137
37,53.1015,0.1957,ok,0.0107
38,53.2025,0.2019,ok,0.0118
39,53.2782,0.2027,ok,0.0109
40,53.3032,0.2119,ok,0.0101
41,53.3286,0.2057,ok,0.0253
42,53.4544,0.2195,ok,0.0101
43,53.5545,0.2038,ok,0.0130
44,53.6307,0.2163,ok,0.0115
45,53.6564,0.1926,ok,0.0116
46,53.7814,0.1853,ok,0.0267
47,54.0010,0.1735,ok,0.0141
48,54.0679,0.1759,ok,0.0106
49,54.1358,0.1700,ok,0.0106
50,54.1572,0.1648,ok,0.0120
51,54.2242,0.1538,ok,0.0106
52,54.3594,0.1640,ok,0.0098
53,54.3814,0.1599,ok,0.0110
54,54.4497,0.1451,ok,0.0097
55,55.0416,0.1777,ok,0.0147
56,55.0613,0.1708,ok,0.0112
57,55.0813,0.1669,ok,0.0136
58,55.1214,0.1538,ok,0.0105
59,55.4046,0.1546,ok,0.0106
60,55.4641,0.1648,ok,0.0112
61,55.5470,0.1591,ok,0.0104
62,55.5664,0.1585,ok,0.0099
63,55.7073,0.1615,ok,0.0104
64,55.7282,0.1548,ok,0.0113
65,56.1295,0.1680,ok,0.0110
66,56.1655,0.1682,ok,0.0100
67,56.2022,0.1673,ok,0.0098
68,56.2393,0.1752,ok,0.0128
69,56.3313,0.1772,ok,0.0107
70,56.3674,0.1721,ok,0.0116
71,56.3862,0.1640,ok,0.0095
72,56.4225,0.1643,ok,0.0110
73,56.5514,0.1564,ok,0.0104
74,56.6434,0.1596,ok,0.0114
75,56.6612,0.1514,ok,0.0103
76,56.8090,0.1586,ok,0.0122
77,56.8274,0.1558,ok,0.0112
78,57.1694,0.1781,ok,0.0121
79,57.1852,0.1748,ok,0.0116
80,57.2363,0.1692,ok,0.0125
81,57.2706,0.1619,ok,0.0116
82,57.3380,0.1662,ok,0.0111
83,57.4385,0.1655,ok,0.0110
84,57.4881,0.1590,ok,0.0107
85,57.5556,0.1584,ok,0.0103
86,57.6909,0.1808,ok,0.0105
87,57.7402,0.1881,ok,0.0124
88,57.7740,0.1825,ok,0.0116
89,57.8085,0.1753,ok,0.0105
90,57.8255,0.1693,ok,0.0103
91,57.8583,0.1635,ok,0.0115
92,57.8923,0.1516,ok,0.0095
93,58.0841,0.1745,ok,0.0104
94,58.1015,0.1698,ok,0.0099
95,58.1184,0.1654,ok,0.0114
96,58.1351,0.1568,ok,0.0096
97,58.3891,0.1808,ok,0.0124
98,58.4041,0.1815,ok,0.0115
99,58.4381,0.1876,ok,0.0107
100,58.4722,0.1815,ok,0.0096
101,58.5054,0.1841,ok,0.0121
102,58.5731,0.1827,ok,0.0107
103,58.5893,0.1755,ok,0.0096
104,58.6064,0.1693,ok,0.0098
105,58.6567,0.1623,ok,0.0104
