idx,t_rel_s,latency_s,status,ttft_s
0,45.0455,0.1132,ok,0.0134
1,46.0019,0.0568,ok,0.0114
2,47.0020,0.1017,ok,0.0326
3,47.5014,0.0670,ok,0.0244
4,48.0011,0.0959,ok,0.0123
5,48.3345,0.1026,ok,0.0122
6,48.6675,0.0639,ok,0.0114
7,49.2513,0.0876,ok,0.0145
8,49.5003,0.0876,ok,0.0109
9,49.7504,0.0878,ok,0.0138
10,50.2009,0.0754,ok,0.0142
11,50.4007,0.0930,ok,0.0111
12,50.6011,0.1277,ok,0.0142
13,51.0004,0.0850,ok,0.0111
14,51.1676,0.0614,ok,0.0109
15,51.3343,0.1119,ok,0.0114
16,51.5004,0.0499,ok,0.0108
17,51.6677,0.0892,ok,0.0311
18,51.8332,0.0911,ok,0.0179
19,52.0006,0.0805,ok,0.0109
20,52.1675,0.1318,ok,0.0109
21,52.3335,0.1009,ok,0.0114
22,52.5007,0.1018,ok,0.0109
23,52.8341,0.0947,ok,0.0127
24,53.0021,0.0863,ok,0.0250
25,53.1438,0.0890,ok,0.0328
26,53.4302,0.0843,ok,0.0272
27,53.5717,0.0872,ok,0.0103
28,53.8582,0.0910,ok,0.0116
29,54.0005,0.0874,ok,0.0107
30,54.1261,0.1004,ok,0.0103
31,54.2508,0.0637,ok,0.0122
32,54.3759,0.0757,ok,0.0107
33,54.5009,0.0788,ok,0.0099
34,54.6260,0.1076,ok,0.0236
35,54.7509,0.1427,ok,0.0125
36,54.8755,0.0945,ok,0.0124
37,55.0002,0.0653,ok,0.0100
38,55.2229,0.1470,ok,0.0357
39,55.3332,0.0851,ok,0.0114
40,55.4454,0.1048,ok,0.0111
41,55.5564,0.1009,ok,0.0102
42,55.6675,0.0769,ok,0.0114
43,55.7787,0.1311,ok,0.0118
44,55.8896,0.0855,ok,0.0108
45,56.0003,0.1031,ok,0.0184
46,56.1009,0.1109,ok,0.0108
47,56.2002,0.0522,ok,0.0130
48,56.3005,0.0989,ok,0.0204
49,56.4006,0.1357,ok,0.0101
50,56.5001,0.1333,ok,0.0108
51,56.6019,0.0816,ok,0.0164
52,56.7007,0.0800,ok,0.0132
53,56.8009,0.1386,ok,0.0107
54,56.9005,0.0956,ok,0.0198
55,57.0003,0.1038,ok,0.0102
56,57.0914,0.1105,ok,0.0108
57,57.1829,0.1029,ok,0.0132
58,57.3651,0.0834,ok,0.0272
59,57.5458,0.0873,ok,0.0108
60,57.6363,0.1327,ok,0.0108
61,57.7274,0.1334,ok,0.0123
62,57.8191,0.1132,ok,0.0288
63,57.9099,0.1034,ok,0.0108
64,58.0010,0.0569,ok,0.0105
65,58.0912,0.1234,ok,0.0104
66,58.1823,0.0721,ok,0.0190
67,58.3647,0.0557,ok,0.0109
68,58.4555,0.1208,ok,0.0096
69,58.5455,0.0819,ok,0.0118
70,58.6375,0.0704,ok,0.0104
71,58.7271,0.0872,ok,0.0119
72,58.8185,0.1265,ok,0.0106
73,58.9100,0.1004,ok,0.0116
74,59.0002,0.0963,ok,0.0116
75,59.0833,0.0749,ok,0.0112
76,59.1684,0.1018,ok,0.0098
77,59.2506,0.0799,ok,0.0119
78,59.4187,0.0473,ok,0.0102
79,59.5002,0.0768,ok,0.0107
80,59.6672,0.0645,ok,0.0113
81,59.8341,0.0645,ok,0.0126
82,59.9179,0.0921,ok,0.0105
83,60.0783,0.0664,ok,0.0115
84,60.2330,0.0473,ok,0.0138
85,60.3086,0.0661,ok,0.0112
86,60.3859,0.0680,ok,0.0101
87,60.4641,0.1334,ok,0.0102
88,60.5384,0.0684,ok,0.0105
89,60.6169,0.0465,ok,0.0119
90,60.6926,0.0879,ok,0.0105
91,60.7696,0.1028,ok,0.0122
92,60.8464,0.0696,ok,0.0101
93,60.9231,0.0606,ok,0.0103
94,61.0010,0.0637,ok,0.0103
95,61.1440,0.0735,ok,0.0105
96,61.2142,0.1061,ok,0.0187
97,61.2870,0.0859,ok,0.0123
98,61.4301,0.0612,ok,0.0108
99,61.5015,0.0896,ok,0.0097
100,61.6443,0.0481,ok,0.0111
101,61.7146,0.0619,ok,0.0149
102,61.7867,0.0699,ok,0.0116
103,61.8578,0.0574,ok,0.0100
104,61.9294,0.0643,ok,0.0106
105,62.0009,0.0577,ok,0.0104
106,62.0687,0.0857,ok,0.0105
107,62.1338,0.0763,ok,0.0118
108,62.4676,0.0566,ok,0.0142
109,62.6006,0.0485,ok,0.0108
110,62.6683,0.0945,ok,0.0172
111,62.8009,0.0650,ok,0.0103
112,62.8671,0.0816,ok,0.0114
113,62.9333,0.0451,ok,0.0103
114,63.0005,0.0875,ok,0.0099
115,63.0626,0.0565,ok,0.0097
116,63.1252,0.0996,ok,0.0090
117,63.1884,0.1096,ok,0.0135
118,63.2507,0.1229,ok,0.0103
119,63.3121,0.0651,ok,0.0097
120,63.3753,0.0983,ok,0.0116
121,63.4385,0.0601,ok,0.0102
122,63.5008,0.0833,ok,0.0093
123,63.5621,0.1205,ok,0.0097
124,63.6255,0.0942,ok,0.0099
125,63.6885,0.0967,ok,0.0101
126,63.7503,0.0706,ok,0.0103
127,63.8761,0.0546,ok,0.0140
128,63.9389,0.0589,ok,0.0102
129,64.0010,0.1089,ok,0.0090
130,64.1251,0.1010,ok,0.0101
131,64.1889,0.1115,ok,0.0108
132,64.2506,0.0825,ok,0.0107
133,64.3125,0.0949,ok,0.0100
134,64.4386,0.0977,ok,0.0117
135,64.5005,0.0592,ok,0.0111
136,64.5628,0.0647,ok,0.0100
137,64.6259,0.0455,ok,0.0102
138,64.6885,0.1126,ok,0.0176
139,64.7508,0.0766,ok,0.0116
140,64.8122,0.0672,ok,0.0110
141,64.8758,0.0853,ok,0.0127
142,64.9387,0.0772,ok,0.0102
143,65.0010,0.0460,ok,0.0097
144,65.0591,0.0897,ok,0.0101
145,65.1181,0.0506,ok,0.0093
146,65.1769,0.0773,ok,0.0104
147,65.2357,0.1000,ok,0.0097
148,65.2945,0.0791,ok,0.0109
149,65.3538,0.0827,ok,0.0126
150,65.4716,0.0616,ok,0.0112
151,65.5296,0.0629,ok,0.0118
152,65.5889,0.1144,ok,0.0142
153,65.6471,0.0529,ok,0.0200
154,65.7655,0.0780,ok,0.0106
155,65.8243,0.0387,ok,0.0101
156,65.8822,0.0550,ok,0.0127
157,65.9413,0.0330,ok,0.0103
158,66.0014,0.0896,ok,0.0102
159,66.0601,0.0895,ok,0.0098
160,66.1185,0.0607,ok,0.0100
161,66.1761,0.1168,ok,0.0118
162,66.2351,0.0915,ok,0.0151
163,66.2947,0.0478,ok,0.0107
164,66.3536,0.0866,ok,0.0115
165,66.4121,0.0531,ok,0.0102
166,66.4713,0.0523,ok,0.0096
167,66.5298,0.0820,ok,0.0098
168,66.5884,0.1135,ok,0.0110
169,66.6471,0.0566,ok,0.0100
170,66.7069,0.0935,ok,0.0093
171,66.7660,0.0856,ok,0.0098
172,66.8240,0.0786,ok,0.0135
173,66.9419,0.0890,ok,0.0113
174,67.0005,0.0893,ok,0.0109
175,67.1191,0.1036,ok,0.0103
176,67.1765,0.1200,ok,0.0110
177,67.2353,0.1032,ok,0.0112
178,67.2945,0.0764,ok,0.0103
179,67.3536,0.0637,ok,0.0120
180,67.4716,0.0505,ok,0.0110
181,67.5293,0.0993,ok,0.0096
182,67.5887,0.0891,ok,0.0099
183,67.6473,0.0461,ok,0.0111
184,67.7076,0.0625,ok,0.0107
185,67.8244,0.0950,ok,0.0139
186,67.8826,0.0478,ok,0.0122
187,67.9416,0.0575,ok,0.0104
188,68.0002,0.0493,ok,0.0096
189,68.0638,0.0961,ok,0.0100
190,68.1253,0.0641,ok,0.0099
191,68.2506,0.0953,ok,0.0103
192,68.3125,0.0940,ok,0.0121
193,68.3756,0.1159,ok,0.0114
194,68.4388,0.0736,ok,0.0103
195,68.5005,0.0630,ok,0.0105
196,68.6258,0.0907,ok,0.0103
197,68.6889,0.0880,ok,0.0117
198,68.8143,0.0645,ok,0.0145
199,68.8752,0.0843,ok,0.0120
200,68.9390,0.0912,ok,0.0099
201,69.0004,0.0966,ok,0.0102
202,69.0625,0.0897,ok,0.0098
203,69.1250,0.1112,ok,0.0094
204,69.1889,0.0522,ok,0.0101
205,69.2512,0.0469,ok,0.0107
206,69.3123,0.0811,ok,0.0141
207,69.3750,0.1076,ok,0.0114
208,69.4384,0.0615,ok,0.0107
209,69.5010,0.0570,ok,0.0099
210,69.5621,0.0730,ok,0.0094
211,69.6252,0.0623,ok,0.0114
212,69.6886,0.0770,ok,0.0099
213,69.7504,0.0462,ok,0.0117
214,69.8128,0.0845,ok,0.0131
215,69.8758,0.0920,ok,0.0128
216,69.9383,0.0590,ok,0.0119
217,70.0005,0.0619,ok,0.0099
218,70.0675,0.0675,ok,0.0102
219,70.1334,0.0936,ok,0.0097
220,70.2003,0.0859,ok,0.0106
221,70.2674,0.0626,ok,0.0101
222,70.3332,0.1013,ok,0.0113
223,70.4020,0.0652,ok,0.0115
224,70.4673,0.0545,ok,0.0098
225,70.5339,0.0989,ok,0.0110
226,70.6010,0.0833,ok,0.0124
227,70.6681,0.0789,ok,0.0111
228,70.7334,0.0700,ok,0.0115
229,70.8008,0.0482,ok,0.0116
230,70.8682,0.1204,ok,0.0111
231,70.9338,0.0406,ok,0.0104
