idx,t_rel_s,latency_s,status,ttft_s
0,0.6010,0.1380,ok,0.0159
1,45.0296,0.1413,ok,0.0192
2,45.4005,0.1363,ok,0.0158
3,46.0016,0.1378,ok,0.0153
4,46.4010,0.1351,ok,0.0146
5,46.8008,0.1352,ok,0.0142
6,47.1125,0.1330,ok,0.0118
7,48.3839,0.1355,ok,0.0141
8,48.5247,0.1509,ok,0.0098
9,48.5729,0.1468,ok,0.0118
10,49.0013,0.1691,ok,0.0148
11,49.0395,0.1647,ok,0.0116
12,49.0796,0.1552,ok,0.0176
13,49.2380,0.1523,ok,0.0152
14,49.3162,0.1428,ok,0.0117
15,49.5132,0.1587,ok,0.0112
16,49.5540,0.1590,ok,0.0115
17,49.6326,0.1434,ok,0.0104
18,50.0334,0.1468,ok,0.0132
19,50.1335,0.1396,ok,0.0113
20,50.3003,0.1334,ok,0.0121
21,50.4679,0.1335,ok,0.0122
22,50.7338,0.1359,ok,0.0131
23,51.1162,0.1529,ok,0.0133
24,51.1735,0.1466,ok,0.0119
25,51.4315,0.1373,ok,0.0146
26,51.6322,0.1552,ok,0.0120
27,51.6611,0.1501,ok,0.0122
28,52.1740,0.1369,ok,0.0134
29,52.3453,0.1513,ok,0.0129
30,52.4022,0.1464,ok,0.0114
31,52.5465,0.1606,ok,0.0102
32,52.5755,0.1653,ok,0.0111
33,52.6614,0.1648,ok,0.0097
34,52.7196,0.1582,ok,0.0103
35,52.7763,0.1474,ok,0.0119
36,53.0260,0.1495,ok,0.0129
37,53.1015,0.1524,ok,0.0100
38,53.2021,0.1685,ok,0.0109
39,53.2787,0.1677,ok,0.0126
40,53.3034,0.1673,ok,0.0122
41,53.3283,0.1601,ok,0.0116
42,53.4547,0.1469,ok,0.0106
43,53.5547,0.1583,ok,0.0100
44,53.6307,0.1666,ok,0.0102
45,53.6550,0.1598,ok,0.0095
46,53.7812,0.1390,ok,0.0148
47,54.0004,0.1573,ok,0.0122
48,54.0677,0.1716,ok,0.0106
49,54.1351,0.1672,ok,0.0118
50,54.1578,0.1623,ok,0.0135
51,54.2246,0.1555,ok,0.0127
52,54.3595,0.1666,ok,0.0117
53,54.3813,0.1591,ok,0.0111
54,54.4494,0.1462,ok,0.0118
55,55.0413,0.1724,ok,0.0138
56,55.0616,0.1666,ok,0.0119
57,55.0816,0.1591,ok,0.0107
58,55.1212,0.1496,ok,0.0114
59,55.4062,0.1575,ok,0.0137
60,55.4645,0.1649,ok,0.0116
61,55.5462,0.1581,ok,0.0104
62,55.5666,0.1577,ok,0.0106
63,55.7071,0.1563,ok,0.0101
64,55.7287,0.1490,ok,0.0099
65,56.1301,0.1687,ok,0.0123
66,56.1652,0.1658,ok,0.0112
67,56.2024,0.1677,ok,0.0104
68,56.2397,0.1739,ok,0.0119
69,56.3312,0.1741,ok,0.0122
70,56.3680,0.1661,ok,0.0106
71,56.3868,0.1597,ok,0.0107
72,56.4227,0.1591,ok,0.0122
73,56.5515,0.1564,ok,0.0108
74,56.6432,0.1596,ok,0.0115
75,56.6611,0.1510,ok,0.0107
76,56.8087,0.1581,ok,0.0123
77,56.8272,0.1508,ok,0.0116
78,57.1694,0.1723,ok,0.0116
79,57.1852,0.1746,ok,0.0111
80,57.2364,0.1685,ok,0.0108
81,57.2705,0.1629,ok,0.0169
82,57.3374,0.1663,ok,0.0133
83,57.4384,0.1648,ok,0.0114
84,57.4882,0.1578,ok,0.0102
85,57.5554,0.1527,ok,0.0118
86,57.6902,0.1834,ok,0.0109
87,57.7408,0.1910,ok,0.0113
88,57.7745,0.1853,ok,0.0137
89,57.8089,0.1781,ok,0.0129
90,57.8255,0.1706,ok,0.0128
91,57.8583,0.1626,ok,0.0114
92,57.8922,0.1524,ok,0.0114
93,58.0849,0.1681,ok,0.0108
94,58.1020,0.1656,ok,0.0111
95,58.1184,0.1581,ok,0.0096
96,58.1351,0.1525,ok,0.0115
97,58.3889,0.1798,ok,0.0125
98,58.4049,0.1795,ok,0.0102
99,58.4382,0.1862,ok,0.0099
100,58.4725,0.1816,ok,0.0107
101,58.5059,0.1825,ok,0.0105
102,58.5725,0.1813,ok,0.0100
103,58.5892,0.1763,ok,0.0107
104,58.6065,0.1697,ok,0.0104
105,58.6561,0.1624,ok,0.0119
106,58.7077,0.1572,ok,0.0106
107,58.8424,0.1548,ok,0.0117
108,58.8925,0.1452,ok,0.0103
109,59.1109,0.1347,ok,0.0119
110,59.2498,0.1760,ok,0.0100
111,59.2649,0.1735,ok,0.0116
112,59.2954,0.1664,ok,0.0107
113,59.3576,0.1595,ok,0.0111
114,59.3896,0.1497,ok,0.0101
115,59.5905,0.1431,ok,0.0121
116,59.7150,0.1869,ok,0.0116
117,59.7613,0.1970,ok,0.0106
118,59.7770,0.1924,ok,0.0113
119,59.8236,0.1942,ok,0.0105
120,59.8550,0.1891,ok,0.0103
121,59.8702,0.1831,ok,0.0105
122,59.8863,0.1779,ok,0.0116
123,59.9018,0.1722,ok,0.0115
124,59.9171,0.1727,ok,0.0112
125,60.0006,0.1701,ok,0.0132
126,60.0726,0.1907,ok,0.0107
127,60.0879,0.1847,ok,0.0104
128,60.1884,0.1997,ok,0.0162
129,60.2024,0.1894,ok,0.0113
130,60.2174,0.1838,ok,0.0116
131,60.2457,0.1771,ok,0.0119
132,60.2745,0.1700,ok,0.0112
133,60.3324,0.1738,ok,0.0100
134,60.3611,0.1749,ok,0.0119
135,60.4481,0.1674,ok,0.0115
136,60.4905,0.1606,ok,0.0121
137,60.5199,0.1571,ok,0.0106
138,60.6634,0.1699,ok,0.0119
139,60.6925,0.1661,ok,0.0116
140,60.7069,0.1588,ok,0.0104
141,60.7508,0.1580,ok,0.0104
142,60.8659,0.1570,ok,0.0127
143,60.9230,0.1556,ok,0.0124
144,61.0545,0.1611,ok,0.0117
145,61.1213,0.1663,ok,0.0115
146,61.1755,0.1602,ok,0.0130
147,61.2700,0.1882,ok,0.0104
148,61.3369,0.1865,ok,0.0115
149,61.3502,0.1789,ok,0.0098
150,61.4044,0.1733,ok,0.0103
151,61.4183,0.1684,ok,0.0113
152,61.4315,0.1606,ok,0.0095
153,61.4441,0.1544,ok,0.0103
154,61.6468,0.1776,ok,0.0123
155,61.6593,0.1724,ok,0.0119
156,61.6864,0.1713,ok,0.0105
157,61.7811,0.1704,ok,0.0103
158,61.8087,0.1644,ok,0.0103
159,61.8347,0.1604,ok,0.0123
160,61.8755,0.1491,ok,0.0111
161,62.0518,0.1922,ok,0.0126
162,62.0761,0.1885,ok,0.0115
