idx,t_rel_s,latency_s,status,ttft_s
0,45.0135,0.0909,ok,0.0180
1,46.0017,0.0549,ok,0.0132
2,47.0030,0.0759,ok,0.0135
3,47.5007,0.0519,ok,0.0140
4,48.0014,0.0869,ok,0.0138
5,48.3339,0.0945,ok,0.0131
6,48.6690,0.0606,ok,0.0134
7,49.2515,0.0620,ok,0.0135
8,49.5010,0.0796,ok,0.0103
9,49.7510,0.0609,ok,0.0139
10,50.2006,0.0686,ok,0.0137
11,50.4006,0.0654,ok,0.0114
12,50.6015,0.0800,ok,0.0140
13,51.0012,0.0794,ok,0.0111
14,51.1689,0.0591,ok,0.0151
15,51.3333,0.0838,ok,0.0099
16,51.5004,0.0317,ok,0.0103
17,51.6675,0.0655,ok,0.0137
18,51.8334,0.0764,ok,0.0102
19,52.0010,0.0733,ok,0.0100
20,52.1676,0.1063,ok,0.0123
21,52.3342,0.0754,ok,0.0107
22,52.5008,0.0800,ok,0.0100
23,52.8343,0.0727,ok,0.0127
24,53.0004,0.0659,ok,0.0102
25,53.1437,0.0635,ok,0.0132
26,53.4296,0.0605,ok,0.0097
27,53.5713,0.0642,ok,0.0098
28,53.8580,0.0704,ok,0.0120
29,54.0019,0.0666,ok,0.0111
30,54.1259,0.0834,ok,0.0170
31,54.2506,0.0573,ok,0.0110
32,54.3761,0.0686,ok,0.0100
33,54.5009,0.0706,ok,0.0103
34,54.6259,0.0959,ok,0.0203
35,54.7504,0.1067,ok,0.0108
36,54.8763,0.0695,ok,0.0109
37,55.0002,0.0597,ok,0.0105
38,55.2234,0.1044,ok,0.0154
39,55.3331,0.0589,ok,0.0096
40,55.4453,0.0795,ok,0.0100
41,55.5570,0.0921,ok,0.0100
42,55.6684,0.0526,ok,0.0111
43,55.7782,0.0956,ok,0.0111
44,55.8900,0.0733,ok,0.0100
45,56.0005,0.0872,ok,0.0110
46,56.1019,0.0796,ok,0.0100
47,56.2007,0.0474,ok,0.0122
48,56.3015,0.0823,ok,0.0113
49,56.4009,0.1012,ok,0.0125
50,56.5001,0.0910,ok,0.0106
51,56.6012,0.0674,ok,0.0102
52,56.7008,0.0565,ok,0.0118
53,56.8006,0.1017,ok,0.0105
54,56.9002,0.0776,ok,0.0108
55,57.0010,0.0731,ok,0.0098
56,57.0914,0.0885,ok,0.0096
57,57.1830,0.0742,ok,0.0093
58,57.3646,0.0638,ok,0.0134
59,57.5458,0.0800,ok,0.0107
60,57.6370,0.0922,ok,0.0106
61,57.7276,0.0924,ok,0.0108
62,57.8182,0.0746,ok,0.0103
63,57.9100,0.0713,ok,0.0112
64,58.0004,0.0515,ok,0.0100
65,58.0911,0.0886,ok,0.0096
66,58.1829,0.0555,ok,0.0095
67,58.3650,0.0529,ok,0.0135
68,58.4552,0.1780,ok,0.0104
69,58.5452,0.1362,ok,0.0821
70,58.6369,0.0681,ok,0.0095
71,58.7272,0.0640,ok,0.0100
72,58.8185,0.1147,ok,0.0276
73,58.9094,0.0867,ok,0.0115
74,59.0002,0.0648,ok,0.0095
75,59.0842,0.0638,ok,0.0098
76,59.1672,0.0682,ok,0.0096
77,59.2506,0.0698,ok,0.0093
78,59.4177,0.0467,ok,0.0132
79,59.5017,0.0721,ok,0.0104
80,59.6681,0.0582,ok,0.0107
81,59.8354,0.0655,ok,0.0142
82,59.9172,0.0875,ok,0.0104
83,60.0779,0.0666,ok,0.0117
84,60.2329,0.0474,ok,0.0140
