rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
855aa8d9dc114186b81c4f7bc2d3c157,5.0054,0.0143,0.1576,80,0.0018,0.0094,0,80,80,80,
7a0c398a892640af9cfa1afb9cee2715,5.0673,0.0129,0.1598,80,0.0019,0.0057,0,80,80,80,
704608855538441895475da9668632b6,5.1335,0.0086,0.1556,80,0.0019,0.0057,0,80,80,80,
ea50fab0d0cb46ab9e79327c6c5a7864,5.2002,0.0094,0.1561,80,0.0019,0.0055,0,80,80,80,
0fe7260af64449a5bde633acdc3f08d8,5.2677,0.0093,0.1559,80,0.0019,0.0055,0,80,80,80,
48077f6deff94e4384a3ad69c3889ba3,5.3339,0.0086,0.1555,80,0.0019,0.0057,0,80,80,80,
f52685a5e9db4f7e8d66804ab5918902,5.4005,0.0092,0.1571,80,0.0019,0.0064,0,80,80,80,
1d21184909b94958880c3711571d9509,5.4677,0.0095,0.1575,80,0.0019,0.0064,0,80,80,80,
798b03343e504f33aaeb3d1e779b80c7,5.5335,0.0101,0.1572,80,0.0019,0.0058,0,80,80,80,
795ea970e8c04abe82def0546790169a,5.6001,0.0094,0.1575,80,0.0019,0.0066,0,80,80,80,
4e9db1608ff74dc1bc9af372c0c09ed4,5.6676,0.0094,0.1574,80,0.0019,0.0066,0,80,80,80,
40024ff3493946c79ed2fe48d55f5ed2,5.7340,0.0098,0.1568,80,0.0019,0.0057,0,80,80,80,
6e4e48f374cc41ecbfa1a74fdd557f0c,5.8006,0.0103,0.1577,80,0.0019,0.0057,0,80,80,80,
e4a850f53b0444dca8c493217e2ce20d,5.8673,0.0097,0.1582,80,0.0019,0.0071,0,80,80,80,
596c23aca0af453b8ed05753388bcde6,5.9339,0.0087,0.1581,80,0.0019,0.0071,0,80,80,80,
0d2ef8dab45942d6adb63b6dbb58c443,6.0011,0.0126,0.1603,80,0.0019,0.0064,0,80,80,80,
164ec2d598db4c8780dd110bcfc0bba9,6.0668,0.0113,0.1585,80,0.0019,0.0058,0,80,80,80,
6a6ffe85e2e744fc84754615ad6785e7,6.1334,0.0106,0.1582,80,0.0019,0.0063,0,80,80,80,
d17725da457b49e7ba7ec7b6f4f2e9d8,6.2004,0.0093,0.1574,80,0.0019,0.0063,0,80,80,80,
b22b45c18763418cb478392317e00f51,6.2677,0.0102,0.1579,80,0.0019,0.0060,0,80,80,80,
5c193faef3354237be6d090ffbdcf2dc,6.3341,0.0098,0.1574,80,0.0019,0.0059,0,80,80,80,
fb68b5e271004950b98b228362d62505,6.4002,0.0099,0.1595,80,0.0019,0.0063,0,80,80,80,
8eeab9ffb75e4886bbc3793fc313ba5d,6.4670,0.0088,0.1636,80,0.0020,0.0065,0,80,80,80,
dfa3255d8291434485326961897fdbfc,6.5340,0.0101,0.1624,80,0.0019,0.0065,0,80,80,80,
aa8aa01dbf9f4984b70d521bd0662221,6.6006,0.0091,0.1560,80,0.0019,0.0056,0,80,80,80,
453c189b24e84c1da0339c38aa8ce7c1,6.6668,0.0088,0.1564,80,0.0019,0.0063,0,80,80,80,
628ce1e5f4134e66a17edd57b8e49013,6.7337,0.0092,0.1576,80,0.0019,0.0063,0,80,80,80,
8c5a605e375a43dd945cb6e03d91bc5d,6.8011,0.0117,0.1630,80,0.0019,0.0063,0,80,80,80,
670e610a91484411b0abbd6e0fba07aa,6.8674,0.0101,0.1529,80,0.0018,0.0063,0,80,80,80,
161cb90b6b1e4473a53c804d9f0f8909,6.9339,0.0100,0.1405,80,0.0017,0.0047,0,80,80,80,
becc43413d604df79e8cea891ea18eae,11.0046,0.0153,0.1580,80,0.0018,0.0063,0,80,80,80,
5ff783cc23c64ab795ec82d7dbb85105,11.0669,0.0111,0.1581,80,0.0019,0.0056,0,80,80,80,
ee90398980fe408eb28a6bae9d5d43da,11.1341,0.0094,0.1572,80,0.0019,0.0061,0,80,80,80,
7f45252a3d2542318662ee7b85c06df1,11.2005,0.0089,0.1563,80,0.0019,0.0061,0,80,80,80,
f0c8799a8df242229baf0cc0f9520c86,11.2675,0.0099,0.1587,80,0.0019,0.0077,0,80,80,80,
