rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
7415096b65bf4f51b1887824edcfdf3b,5.0054,0.0408,7.6793,80,0.0967,0.3066,1,80,80,80,
ff7f3e72337b478fb1d26ec51afc87e9,5.0724,0.0494,8.2036,80,0.1032,0.3065,0,80,80,80,
f4ad1f95edd44a4bbec4261cc06989ac,5.1430,0.0293,8.4628,80,0.1068,0.3065,0,80,80,80,
ce885883d2744faf9bcf46f7e1e57936,5.2151,0.0316,8.9406,80,0.1128,0.3066,0,80,80,80,
d1ac3c91940742efa7fec7b3dabff169,5.2867,0.3164,9.4155,80,0.1152,0.2264,1,80,80,80,
328f60f050654b5f9ddc70fd2f276161,5.3574,0.3776,9.4551,80,0.1149,0.2262,0,80,80,80,
99d51a38b1024091a0747ca5b71b3bac,5.4293,0.3058,9.3833,80,0.1149,0.2263,0,80,80,80,
9fd88f4b137e4ab4b6296985b7860162,5.5002,0.2349,9.3126,80,0.1149,0.2264,0,80,80,80,
fe07d0d6231c41c7b1072a550d79e4f1,5.5721,0.1630,9.2409,80,0.1149,0.2265,1,80,80,80,
736112b422d143ac860cdda351af0d75,5.6450,0.2130,9.2774,80,0.1147,0.2268,0,80,80,80,
e57e2e599ea941948c66d04b1e316a17,5.7147,0.1432,9.2078,80,0.1147,0.2265,0,80,80,80,
f70d35ea1ca44428996bc3ff1dc9f5db,5.7867,0.0960,9.2461,80,0.1158,0.2262,0,80,80,80,
35858755143548c38dc7690d13edd121,5.8577,0.1351,9.1759,80,0.1144,0.2264,1,80,80,80,
690250160bf540e788d7347b98c92ccf,5.9288,0.1838,9.2155,80,0.1143,0.2265,0,80,80,80,
a42869a6cace42cea36760fb134f2839,6.0008,0.2326,9.2539,80,0.1142,0.2264,0,80,80,80,
dad36573cccd4b7f9a1666c3ac35dae0,6.0717,0.1617,9.1831,80,0.1142,0.2264,0,80,80,80,
cdcd038662fb4b85a445c0000d884c91,6.1436,0.2189,9.2208,80,0.1139,0.2265,1,80,80,80,
54b04f5eed00407bbda8e5307b53c769,6.2146,0.1479,9.1498,80,0.1139,0.2264,0,80,80,80,
3a1d3c2785b24186bec3a0046c64f06a,6.2861,0.1985,9.1890,80,0.1138,0.2264,0,80,80,80,
58bf1dea1fd746be9a85c3864b577452,6.3583,0.1263,9.1169,80,0.1138,0.2265,0,80,80,80,
f331d72ed21943d9b613cc3eed5767cd,6.4289,0.1788,9.1615,80,0.1137,0.2263,1,80,80,80,
8cff21b200ae42ecb448a984c46da3e3,6.5002,0.2293,9.2015,80,0.1136,0.2265,0,80,80,80,
936403d5db3e4476b3026423e11d7c35,6.5719,0.1575,9.1296,80,0.1136,0.2263,0,80,80,80,
7b660bcecd3c4752ac34eecc6ded35fb,6.6432,0.2112,9.1675,80,0.1134,0.2265,0,80,80,80,
1034272fb0514ad2aac9a0f1e6176668,6.7150,0.1393,9.0955,80,0.1134,0.2268,1,80,80,80,
90088a9548794822ac38fbc3e4c2f2f2,6.7860,0.0902,9.1340,80,0.1145,0.2262,0,80,80,80,
8e731efb343b4228aacf80d82e74cfc8,6.8575,0.1281,9.0628,80,0.1131,0.2263,0,80,80,80,
22ec525dbdd9446bacc1f1cb44b1cbbc,6.9294,0.1789,9.1006,80,0.1129,0.2264,0,80,80,80,
2a8f3147c0ff4132b7e08c6ab9ab6f77,11.0002,0.1609,9.3382,80,0.1162,0.2268,1,80,80,80,
fd6b9ada24e34f0abd1cfa049ea4d85b,11.0731,0.2086,9.3820,80,0.1161,0.2264,0,80,80,80,
