rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
e5344ce420ee4700a557180f3f0afe4c,3.0023,0.0314,0.2089,50,0.0036,0.0110,1,50,50,50,
aee5747945b4489ba002c305cfd68cfd,3.0671,0.0112,0.2175,50,0.0042,0.0110,0,50,50,50,
ccc4f207d6ec4949babbef679e1feb5e,3.1335,0.0191,0.2018,50,0.0037,0.0096,0,50,50,50,
c2a2c41a46334c84a6380f0cc9527557,3.2009,0.0118,0.1862,50,0.0036,0.0096,0,50,50,50,
3d773fd2cb374a02b356b8f12a9c19ff,3.2675,0.0142,0.1613,50,0.0030,0.0063,0,50,50,50,
e295494a232a429b9128c9aeec5fb0d6,3.3334,0.0085,0.1556,50,0.0030,0.0063,0,50,50,50,
1909f2d79c7f4bf1958c982a240e2fed,3.4003,0.0116,0.1580,50,0.0030,0.0062,0,50,50,50,
4221e0c9b2d8496b98a6ad49f7d904bb,3.4673,0.0102,0.1569,50,0.0030,0.0064,0,50,50,50,
f6d9a70abd654262a7b0cbee5604a902,3.5335,0.0107,0.1860,50,0.0036,0.0125,0,50,50,50,
d07f3451d23b432fb0ed892d8e3c9065,3.6008,0.0094,0.1922,50,0.0037,0.0126,0,50,50,50,
3230e997286043cf9bd50bf4ba09d671,3.6667,0.0143,0.2000,50,0.0038,0.0126,1,50,50,50,
17c62b9a4d544c24a926c554626db285,3.7340,0.0114,0.1693,50,0.0032,0.0067,0,50,50,50,
1735309faedc405ca3b5250e4937ad95,3.8004,0.0092,0.1598,50,0.0031,0.0051,0,50,50,50,
e846eb0b0ea3479d921f87e636524ecb,3.8668,0.0082,0.1536,50,0.0030,0.0051,0,50,50,50,
030913dd5d6840cf84660226efacc5f8,3.9338,0.0095,0.1563,50,0.0030,0.0063,0,50,50,50,
9564d1866b0d4a049d4534b2b84b996d,4.0004,0.0086,0.1546,50,0.0030,0.0063,0,50,50,50,
5eadfe6e22c5457ca251470a25e6b66f,4.0669,0.0117,0.1557,50,0.0029,0.0050,0,50,50,50,
2271cba9592b4782bf4055b148c32960,4.1337,0.0100,0.1537,50,0.0029,0.0050,0,50,50,50,
664bc0bba359412a98d216215d9b2088,4.2002,0.0083,0.1627,50,0.0032,0.0075,0,50,50,50,
206d98f95d474dda99adfd2b060b5f6a,4.2668,0.0094,0.1867,50,0.0036,0.0125,0,50,50,50,
4cd57c5cbd4544ba9fff7b5ec7b2f107,4.3335,0.0130,0.1977,50,0.0038,0.0125,1,50,50,50,
b6a9f6ddf34f4092b91ae803e04c94a6,4.4006,0.0117,0.1702,50,0.0032,0.0063,0,50,50,50,
79a6ec5d3b054d6fb19529ab12d28a18,4.4669,0.0104,0.1625,50,0.0031,0.0063,0,50,50,50,
4c41fbd9b2d745889a96f1265232bd11,4.5338,0.0085,0.1561,50,0.0030,0.0063,0,50,50,50,
aa54f738afd1455b9291273184c5e0d7,4.6006,0.0117,0.1572,50,0.0030,0.0051,0,50,50,50,
d792d759ab6946a6992df9055d174ab8,4.6668,0.0086,0.1531,50,0.0029,0.0051,0,50,50,50,
698397543bfe40068608bdb968c2f218,4.7334,0.0103,0.1546,50,0.0029,0.0049,0,50,50,50,
f6ee8349cc83445a892f73a3293bbf8f,4.8005,0.0083,0.1523,50,0.0029,0.0050,0,50,50,50,
9e2b56a24e544b219f6ba577a375cf19,4.8672,0.0095,0.1800,50,0.0035,0.0122,0,50,50,50,
6c36074e4be6467bb8f3871bb6bf6e3d,4.9344,0.0100,0.1894,50,0.0037,0.0122,0,50,50,50,
823bc02c33c1475a87aba2a09ca29bb4,5.0002,0.0126,0.1971,50,0.0038,0.0122,1,50,50,50,
82dd52b1d059402f80d47e6d73a15773,5.0670,0.0091,0.1666,50,0.0032,0.0066,0,50,50,50,
1de267d4e4c5423fafddff5b91100e54,5.1342,0.0091,0.1593,50,0.0031,0.0049,0,50,50,50,
66d1598a018142b3836c7d1d1eb0de7e,5.2008,0.0103,0.1555,50,0.0030,0.0050,0,50,50,50,
b4c1a22a2f8144678098f69ddf3640e9,5.2670,0.0095,0.1563,50,0.0030,0.0064,0,50,50,50,
7508124d861c4b37a4b3c80717cc3fb4,5.3335,0.0086,0.1555,50,0.0030,0.0064,0,50,50,50,
8a1f2dea1bc440cf8f972ac7f949c12a,5.4002,0.0117,0.1569,50,0.0030,0.0050,0,50,50,50,
b7c3ae938c1341d8808c2fcb1ac86a19,5.4674,0.0103,0.1547,50,0.0029,0.0049,0,50,50,50,
0359334ddb91475b8d0cbd5a29d5f8e3,5.5336,0.0095,0.1679,50,0.0032,0.0104,0,50,50,50,
166ce7b625a54f4f8c3c55984bf04b10,5.6007,0.0101,0.1953,50,0.0038,0.0140,0,50,50,50,
8c613b7eca914a7cb808ac1e9ff3f38c,5.6674,0.0150,0.2022,50,0.0038,0.0140,1,50,50,50,
d3fc0e039a254d35b6f006c1414a88bc,5.7338,0.0112,0.1694,50,0.0032,0.0065,0,50,50,50,
83c05d0973cb4ce0af5e79eafaa683f8,5.8001,0.0092,0.1604,50,0.0031,0.0057,0,50,50,50,
927313d9cbb04692a7c5a37b449730a6,5.8667,0.0084,0.1541,50,0.0030,0.0057,0,50,50,50,
705ad8203d8c4c3383b03c967ca3bc2c,5.9339,0.0097,0.1557,50,0.0030,0.0051,0,50,50,50,
38af1d08b37740cbb26ea137f2c3be90,6.0009,0.0086,0.1565,50,0.0030,0.0066,0,50,50,50,
2f10f0737f8b49b28a805541f214129d,6.0677,0.0103,0.1572,50,0.0030,0.0066,0,50,50,50,
3763b1ff9c324252823fe0db0411b360,6.1338,0.0125,0.1562,50,0.0029,0.0050,0,50,50,50,
190cdf607d8c4938970de4522afab36a,6.2009,0.0100,0.1793,50,0.0035,0.0123,0,50,50,50,
a657b664161b4360803ffb1f4aab3cc7,6.2676,0.0082,0.1858,50,0.0036,0.0123,0,50,50,50,
c5096568133d4557940db9bf0e9b8784,6.3339,0.0129,0.1961,50,0.0037,0.0123,1,50,50,50,
14283228d5704439a37039303841ffeb,6.4001,0.0089,0.1666,50,0.0032,0.0064,0,50,50,50,
