rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
8f3cb1b299a54cb7a75dc99c90bac566,5.0055,0.0205,0.4982,80,0.0060,0.0123,0,80,80,80,
1f487e6b71fc4b22823e236001630a0a,5.0721,0.0186,0.4998,80,0.0061,0.0124,0,80,80,80,
86ba3a5c944c499b9b88af2b3c9721bc,5.1433,0.0186,0.5025,80,0.0061,0.0123,0,80,80,80,
d8f7b397a7744bd9992fa47f5d6d8ac6,5.2150,0.0141,0.4992,80,0.0061,0.0123,0,80,80,80,
99b744df1848471b87131c95d03aef55,5.2862,0.0176,0.5019,80,0.0061,0.0123,0,80,80,80,
7c31fdc2449740acadeca431d82c7fa5,5.3577,0.0203,0.5043,80,0.0061,0.0127,0,80,80,80,
d8ffd2b45cf54c508044af95f8fe3db8,5.4287,0.0178,0.5080,80,0.0062,0.0128,0,80,80,80,
9bb5ca01cc9a48edb42f360e42552ec7,5.5004,0.0206,0.5159,80,0.0063,0.0128,0,80,80,80,
4f110f25f7834fef8fe21ef8c662c695,5.5720,0.0172,0.5077,80,0.0062,0.0127,0,80,80,80,
7017e0bcd914488f81beae740dc75f4e,5.6431,0.0141,0.5057,80,0.0062,0.0127,0,80,80,80,
e570347d7ce2489aaab3906ca5aadc71,5.7153,0.0157,0.5070,80,0.0062,0.0128,0,80,80,80,
3b5ac79c913c4118b834a600719c0919,5.7861,0.0194,0.5172,80,0.0063,0.0128,0,80,80,80,
32b64fd6d24b414eadf0c9581451ebe7,5.8580,0.0176,0.5079,80,0.0062,0.0128,0,80,80,80,
653991f889724fb4afd95ada0ce3fe5d,5.9288,0.0206,0.5064,80,0.0062,0.0128,0,80,80,80,
28c8e5dbdcdc4ebe9b53350f68fe776f,6.0001,0.0174,0.5038,80,0.0062,0.0129,0,80,80,80,
914acaa0a7184fce95438c2c14da1d9b,6.0724,0.0198,0.5052,80,0.0061,0.0129,0,80,80,80,
319f0d5899604c2685a1636ebbdca8e8,6.1430,0.0173,0.5026,80,0.0061,0.0127,0,80,80,80,
56b6eee0d2e34b0e9839941f10a04fac,6.2151,0.0190,0.5053,80,0.0062,0.0128,0,80,80,80,
608a2d2ca4f449dda984c1572bb5f691,6.2860,0.0181,0.5027,80,0.0061,0.0116,0,80,80,80,
5dbaa96854304a37b6f35459ce9dec5a,6.3575,0.0210,0.5053,80,0.0061,0.0112,0,80,80,80,
a84d9dd68e3f489198b16a38f87c4471,6.4287,0.0189,0.5033,80,0.0061,0.0113,0,80,80,80,
b61977e8a5144be8802d651cdc365041,6.5001,0.0154,0.5007,80,0.0061,0.0113,0,80,80,80,
d5d7b19b0065457cbfac3135f1242434,6.5716,0.0179,0.4969,80,0.0061,0.0113,0,80,80,80,
a4de808ae1e74b66a3984384a77974e3,6.6430,0.0157,0.4877,80,0.0060,0.0113,0,80,80,80,
4525b53bc9bf4b07847d1f470ed68d96,6.7145,0.0178,0.4836,80,0.0059,0.0114,0,80,80,80,
d69f6ebe619c4879aad8aee9a124aaa4,6.7861,0.0144,0.4742,80,0.0058,0.0113,0,80,80,80,
129acfac36f54bcba7e0fd178330390c,6.8580,0.0174,0.4693,80,0.0057,0.0112,0,80,80,80,
7f8133e2013842bfbcb3caeb40535a91,6.9292,0.0152,0.4580,80,0.0056,0.0121,0,80,80,80,
a61df3a8b71344d19d671eaec11582a8,11.0040,0.0200,0.4982,80,0.0061,0.0129,0,80,80,80,
a63b72e7ddfc48bb87e7e7b374ebca5a,11.0718,0.0170,0.4975,80,0.0061,0.0129,0,80,80,80,
f56820f033cb4b4e819d72825764bae5,11.1436,0.0168,0.4994,80,0.0061,0.0129,0,80,80,80,
ef2fabd2b12144eba21f64adf0ae0768,11.2150,0.0189,0.5019,80,0.0061,0.0129,0,80,80,80,
b19a5db1de2a47da809e5e01460adf9b,11.2864,0.0167,0.4998,80,0.0061,0.0112,0,80,80,80,
d6dff368f04948568b2af93d8068f9bb,11.3577,0.0191,0.5033,80,0.0061,0.0127,0,80,80,80,
6177b9e421b4490eb8c4bf5d5d57aeca,11.4294,0.0152,0.5010,80,0.0061,0.0127,0,80,80,80,
babe4e04c0f844bbbb60290f21a97a57,11.5006,0.0180,0.5033,80,0.0061,0.0126,0,80,80,80,
2f011b0fcf6b4e1b8269e02eb841b7b2,11.5724,0.0143,0.5010,80,0.0062,0.0126,0,80,80,80,
7799da9abdc641318eb100f078e5aa67,11.6431,0.0172,0.5033,80,0.0062,0.0127,0,80,80,80,
91fd858acbb24bb8bd6a8e4ac68fd180,11.7151,0.0139,0.4995,80,0.0061,0.0126,0,80,80,80,
547b8e8d910248dca831e39caa55238a,11.7863,0.0180,0.5033,80,0.0061,0.0113,0,80,80,80,
94c8af29bcd546039765d256269317d7,11.8572,0.0158,0.5033,80,0.0062,0.0137,0,80,80,80,
1fdf078e8e1044a2b7a0dc39a0f8ea56,11.9288,0.0186,0.5060,80,0.0062,0.0137,0,80,80,80,
7b38a84fbfc742cea900a6da7ac3212c,12.0010,0.0150,0.5029,80,0.0062,0.0136,0,80,80,80,
d2c2ccf7d8ea42a4a599349e6c76239b,12.0719,0.0187,0.5226,80,0.0064,0.0225,0,80,80,80,
8586db01d500483baa1dee87d96cdb0a,12.1437,0.0141,0.5175,80,0.0064,0.0226,0,80,80,80,
525606830a7248b6972ddbb7e32ea14a,12.2144,0.0177,0.5220,80,0.0064,0.0226,0,80,80,80,
5d1d1e6b100747cf9eea924bfa18da34,12.2860,0.0181,0.5183,80,0.0063,0.0225,0,80,80,80,
bd5dd04e3a384685b23b754b3f903cff,12.3579,0.0149,0.5154,80,0.0063,0.0225,0,80,80,80,
ece6223871ee4137b40f5aabec5bd61e,12.4290,0.0175,0.5172,80,0.0063,0.0226,0,80,80,80,
e336f5464fcc4e0f9b273e9f61528e8c,12.5004,0.0315,0.5148,80,0.0061,0.0116,0,80,80,80,
06fc1576d23d4d7e91af62d3c3d9a112,12.5725,0.0160,0.4934,80,0.0060,0.0116,0,80,80,80,
63a0a1d0e6e446c9a9704f7adcb08120,12.6436,0.0190,0.4901,80,0.0060,0.0115,0,80,80,80,
597fbdb0a6c949428415565939e0ab74,12.7153,0.0155,0.4805,80,0.0059,0.0116,0,80,80,80,
4507a75a79c1450793bdce4c5f7caea4,12.7860,0.0193,0.4778,80,0.0058,0.0114,0,80,80,80,
083291614f2f4db49f46509cce25af27,12.8582,0.0156,0.4660,80,0.0057,0.0105,0,80,80,80,
44310c12ad6043ccacbdaae1331b1325,12.9296,0.0180,0.4596,80,0.0056,0.0061,0,80,80,80,
9ea117eb30504d3893d1cfa1381c0ca0,17.0041,0.0191,0.4934,80,0.0060,0.0112,0,80,80,80,
2fd029e95f014e83a74b94e31391746f,17.0719,0.0156,0.4937,80,0.0061,0.0112,0,80,80,80,
d1f2555307c94d5193e964229738fec5,17.1432,0.0152,0.4963,80,0.0061,0.0112,0,80,80,80,
f78b4ee441dc40588c18019408dc1b18,17.2150,0.0162,0.4984,80,0.0061,0.0112,0,80,80,80,
479e3d75d5b041e1af0d1cdbadd9a74d,17.2866,0.0183,0.5015,80,0.0061,0.0112,0,80,80,80,
c1bfe859b5294dfe8ca7d3d1c479b337,17.3582,0.0204,0.5030,80,0.0061,0.0109,0,80,80,80,
23d37164b1d342a98c31f7e930f2a59a,17.4291,0.0182,0.5018,80,0.0061,0.0121,0,80,80,80,
e6a76c2c2b3e49458b2d9e0eb36819f2,17.5008,0.0142,0.4982,80,0.0061,0.0121,0,80,80,80,
4f3cf0ddc3ce49748d8393a7e386d23c,17.5724,0.0164,0.5013,80,0.0061,0.0122,0,80,80,80,
41bf82b6e673403983770c0381a466f1,17.6437,0.0189,0.5028,80,0.0061,0.0122,0,80,80,80,
4c25544a0ad943d8ae0ed2d9e57e278d,17.7145,0.0160,0.5001,80,0.0061,0.0121,0,80,80,80,
597ad4a815ce4e4cb0410224cace760b,17.7865,0.0178,0.5021,80,0.0061,0.0121,0,80,80,80,
5fb674e27b7141399903647c41a70892,17.8574,0.0170,0.4994,80,0.0061,0.0110,0,80,80,80,
88030ce7dc3b4f5180325bbc19450b26,17.9291,0.0190,0.5023,80,0.0061,0.0121,0,80,80,80,
1f9dacfe48324ae5853d81ec29c3acd4,18.0001,0.0162,0.4993,80,0.0061,0.0121,0,80,80,80,
d8e813c9eeba4f70a64007ebbc9d2123,18.0721,0.0177,0.5018,80,0.0061,0.0121,0,80,80,80,
02ceed080615494f82ccd5d7657ec933,18.1439,0.0144,0.4972,80,0.0061,0.0121,0,80,80,80,
a413aa17f45e40fb90b308132f3024bd,18.2146,0.0177,0.5003,80,0.0061,0.0121,0,80,80,80,
dc1ec9f760d146b187b88be4f151c3e7,18.2868,0.0159,0.4963,80,0.0061,0.0121,0,80,80,80,
a1bf5a97a8ad460691dd29eb89f4fcab,18.3579,0.0170,0.5025,80,0.0061,0.0142,0,80,80,80,
2ccb3beec9cc432eb21c7e484ded5add,18.4287,0.0142,0.4994,80,0.0061,0.0142,0,80,80,80,
bb79ea3d61894326a5c4f7cf08833188,18.5005,0.0164,0.5013,80,0.0061,0.0142,0,80,80,80,
ed912db142f64a8ca9a3ea54e5e76109,18.5725,0.0182,0.4971,80,0.0061,0.0142,0,80,80,80,
77777d8914514df880c42a540f39c9f9,18.6433,0.0155,0.4883,80,0.0060,0.0143,0,80,80,80,
8ba1118b57e049709bcc646341b57136,18.7150,0.0172,0.4842,80,0.0059,0.0142,0,80,80,80,
1be9b5f815a34db79ae708cd95527e7c,18.7863,0.0174,0.4751,80,0.0058,0.0111,0,80,80,80,
2b1e9d879fc34ca988f494442bdd56c9,18.8582,0.0190,0.4691,80,0.0057,0.0107,0,80,80,80,
2ed40559293e49cabb3280f5cd817a75,18.9292,0.0160,0.4578,80,0.0056,0.0059,0,80,80,80,
d1c6c363b1fd4aecb4a1885a5735d995,23.0021,0.0185,0.4954,80,0.0060,0.0120,0,80,80,80,
5fab70975f7e4a6c9c1b0be9147f5e36,23.0716,0.0185,0.4997,80,0.0061,0.0120,0,80,80,80,
cb6e1c0988b54957a5cb4a0d276e8639,23.1437,0.0185,0.5015,80,0.0061,0.0120,0,80,80,80,
fac1c26700634871a07a30a0ef98e1a3,23.2153,0.0159,0.4979,80,0.0061,0.0115,0,80,80,80,
d7cab1c60c5247e7abfafaac864b887d,23.2862,0.0188,0.5025,80,0.0061,0.0112,0,80,80,80,
ca53535fb7c34218bf81d25a0b273adf,23.3577,0.0155,0.4981,80,0.0061,0.0124,0,80,80,80,
e93b3ba19cf44a1bb18c287a74e7371a,23.4288,0.0182,0.5019,80,0.0061,0.0124,0,80,80,80,
ff4a22b64fc74e4a83142998c7029941,23.5007,0.0146,0.4972,80,0.0061,0.0124,0,80,80,80,
70da9f6bdebb40ea9a38f2fb26501d53,23.5724,0.0159,0.4991,80,0.0061,0.0124,0,80,80,80,
f68ee105a8274a63afdc52194afeb71c,23.6433,0.0133,0.4963,80,0.0061,0.0124,0,80,80,80,
b52fb911ba13453c9bdf12e85f1af685,23.7153,0.0158,0.4991,80,0.0061,0.0124,0,80,80,80,
f8406fb3f91d4699a331a99f943d0c43,23.7864,0.0187,0.5029,80,0.0061,0.0123,0,80,80,80,
123e056af7e745cc9fc223259e3ca104,23.8581,0.0153,0.4992,80,0.0061,0.0123,0,80,80,80,
2a10b59c215149bf82544cd68b881cf9,23.9290,0.0178,0.5020,80,0.0061,0.0123,0,80,80,80,
a25cce26dda94f5f8d21da4c357161e2,24.0010,0.0141,0.4980,80,0.0061,0.0123,0,80,80,80,
8f95c38d45a34460bbbf6f6db366e6f6,24.0716,0.0170,0.5019,80,0.0061,0.0123,0,80,80,80,
5ddf3c25554442d596d72994edf4fa7d,24.1437,0.0190,0.5035,80,0.0061,0.0123,0,80,80,80,
d75007166f5b4a4cbb441b56b0f1fa03,24.2145,0.0182,0.5023,80,0.0061,0.0113,0,80,80,80,
75e25dc817f742b8b5f80e8da6bec6c2,24.2865,0.0144,0.4968,80,0.0061,0.0113,0,80,80,80,
8959e09b204140a583a5061c35cd47b0,24.3574,0.0180,0.4997,80,0.0061,0.0113,0,80,80,80,
26546e1b1d3848f3bc91f428f12edf79,24.4294,0.0192,0.5015,80,0.0061,0.0113,0,80,80,80,
311ac361ac464d1794613cfd127121ab,24.5003,0.0167,0.4986,80,0.0061,0.0111,0,80,80,80,
da7216475396491b94567a6a360cb7bc,24.5718,0.0138,0.4893,80,0.0060,0.0111,0,80,80,80,
17552e42dc0e45e69b2790c56bf0e08d,24.6435,0.0159,0.4853,80,0.0059,0.0110,0,80,80,80,
dfe639ed88e2445286eb44e4d673af76,24.7146,0.0180,0.4818,80,0.0059,0.0109,0,80,80,80,
f9898344e27b4076ac6e042b1d71bad1,24.7865,0.0141,0.4720,80,0.0058,0.0109,0,80,80,80,
b7b80942b1e34fbeabb748cc9cb26b52,24.8572,0.0172,0.4671,80,0.0057,0.0108,0,80,80,80,
b71594f776994240a395beb7f28a52dd,24.9292,0.0193,0.4603,80,0.0056,0.0079,0,80,80,80,
8edd9b0400a3486196d9fff83da0ea80,29.0043,0.0206,0.4978,80,0.0060,0.0121,0,80,80,80,
0211e0a758fa48f0a6bb6c1d06df450e,29.0718,0.0181,0.4978,80,0.0061,0.0121,0,80,80,80,
b7514066e2694b159b606617065bc39a,29.1435,0.0179,0.4999,80,0.0061,0.0121,0,80,80,80,
17ef04dec1104125ab128e8549f8ea38,29.2144,0.0147,0.4970,80,0.0061,0.0121,0,80,80,80,
955b256c0f6345c28e761103e92c6578,29.2858,0.0172,0.4995,80,0.0061,0.0114,0,80,80,80,
dd7e0ecd1a274fe085a68d8cc7b38f90,29.3576,0.0192,0.5025,80,0.0061,0.0112,0,80,80,80,
8be1449d577f48e78a6c306a543970b9,29.4296,0.0157,0.4994,80,0.0061,0.0126,0,80,80,80,
8996387c95a0463c8e5feceb2f624fa2,29.5008,0.0184,0.5022,80,0.0061,0.0126,0,80,80,80,
1c2a98b361524c1680e62f36441666f5,29.5719,0.0153,0.5023,80,0.0062,0.0127,0,80,80,80,
a7b90ebbe01d481b93773741f2311c57,29.6435,0.0174,0.5043,80,0.0062,0.0127,0,80,80,80,
ed07d7e9c3e14f70b6ecc7cd751dbd72,29.7145,0.0142,0.5022,80,0.0062,0.0127,0,80,80,80,
8489db7e800f4e9199ea8624cf9fa892,29.7865,0.0158,0.5041,80,0.0062,0.0126,0,80,80,80,
650d2866cfd84654b1ca692724831d35,29.8575,0.0205,0.5073,80,0.0062,0.0120,0,80,80,80,
31a4f2ff11a2430b9224c5586e412f8b,29.9288,0.0172,0.5043,80,0.0062,0.0119,0,80,80,80,
58f8259e2d674b71bc73598dad6a95cb,30.0002,0.0161,0.5032,80,0.0062,0.0118,0,80,80,80,
4dbdc554e217442d996dca206950e570,30.0723,0.0192,0.5046,80,0.0061,0.0122,0,80,80,80,
fba462b1ed3447f3b9ec230f71c571a4,30.1432,0.0168,0.5016,80,0.0061,0.0122,0,80,80,80,
1fd347043f46481d92cf039ad57c798e,30.2148,0.0195,0.5037,80,0.0061,0.0122,0,80,80,80,
4318f8f4b3de4d1a995df9af5c7f42ad,30.2859,0.0173,0.5017,80,0.0061,0.0123,0,80,80,80,
02de606019224b248d3592a42612601b,30.3574,0.0194,0.5048,80,0.0061,0.0122,0,80,80,80,
57fab318b6ec49c3a11b571e04b90cfe,30.4292,0.0164,0.5022,80,0.0061,0.0128,0,80,80,80,
3776be04252741d7b22747cddd849bfb,30.5006,0.0196,0.5040,80,0.0061,0.0128,0,80,80,80,
62106a2009024e7ca9af29a1f3c42300,30.5721,0.0166,0.4947,80,0.0061,0.0128,0,80,80,80,
d5b2c200aed742989cfd0317dec67f88,30.6432,0.0192,0.4913,80,0.0060,0.0128,0,80,80,80,
c6e97d27abc54a5e85c651a8cd47c0b9,30.7149,0.0153,0.4815,80,0.0059,0.0129,0,80,80,80,
7d09f9f99ec64c09bb36f6759b81565f,30.7860,0.0185,0.4783,80,0.0058,0.0128,0,80,80,80,
cd62230109004c8d96b489cc5446edb8,30.8582,0.0219,0.4720,80,0.0057,0.0103,0,80,80,80,
e0ada82a9dc34720acd69bfea8e0a81e,30.9292,0.0191,0.4651,80,0.0056,0.0076,0,80,80,80,
7e4fd678944c428ab45c2da422425c64,35.0043,0.0194,0.4959,80,0.0060,0.0119,0,80,80,80,
c7646cff2ebc44a88442a4fce70ba6a1,35.0717,0.0161,0.4965,80,0.0061,0.0119,0,80,80,80,
974c524ff97843a3978ad3ffabcdd504,35.1438,0.0160,0.4982,80,0.0061,0.0118,0,80,80,80,
