timestamp_s,prompt_length,max_new_tokens,second,index_in_second
0.6,65,80,0,0
45.0,77,80,45,0
45.4,1,80,45,1
46.0,105,80,46,0
46.4,48,80,46,1
46.8,42,80,46,2
47.111,33,80,47,0
48.381,57,80,48,0
48.524,80,80,48,1
48.572,68,80,48,2
49.0,71,80,49,0
49.039,81,80,49,1
49.079,69,80,49,2
49.237,73,80,49,3
49.316,54,80,49,4
49.513,52,80,49,5
49.553,95,80,49,6
49.632,66,80,49,7
50.033,125,80,50,0
50.133,103,80,50,1
50.3,30,80,50,2
50.467,26,80,50,3
50.733,56,80,50,4
51.115,94,80,51,0
51.173,56,80,51,1
51.431,104,80,51,2
51.632,55,80,51,3
51.661,120,80,51,4
52.173,82,80,52,0
52.345,30,80,52,1
52.402,74,80,52,2
52.546,116,80,52,3
52.575,72,80,52,4
52.661,64,80,52,5
52.719,102,80,52,6
52.776,139,80,52,7
53.025,95,80,53,0
53.101,44,80,53,1
53.202,86,80,53,2
53.278,88,80,53,3
53.303,66,80,53,4
53.328,87,80,53,5
53.454,36,80,53,6
53.554,48,80,53,7
53.63,85,80,53,8
53.655,39,80,53,9
53.781,25,80,53,10
54.0,82,80,54,0
54.067,50,80,54,1
54.135,79,80,54,2
54.157,57,80,54,3
54.224,74,80,54,4
54.359,92,80,54,5
54.381,75,80,54,6
54.449,112,80,54,7
55.04,93,80,55,0
55.061,82,80,55,1
55.081,53,80,55,2
55.121,133,80,55,3
55.404,47,80,55,4
55.464,69,80,55,5
55.546,47,80,55,6
55.566,69,80,55,7
55.707,44,80,55,8
55.728,114,80,55,9
56.129,57,80,56,0
56.165,76,80,56,1
56.202,59,80,56,2
56.239,115,80,56,3
56.331,75,80,56,4
56.367,100,80,56,5
56.386,70,80,56,6
56.422,93,80,56,7
56.551,91,80,56,8
56.643,108,80,56,9
56.661,111,80,56,10
56.808,91,80,56,11
56.827,78,80,56,12
57.169,138,80,57,0
57.185,64,80,57,1
57.236,67,80,57,2
57.27,111,80,57,3
57.337,112,80,57,4
57.438,102,80,57,5
57.488,95,80,57,6
57.555,100,80,57,7
57.69,106,80,57,8
57.74,133,80,57,9
57.774,104,80,57,10
57.808,121,80,57,11
57.825,80,80,57,12
57.858,91,80,57,13
57.892,84,80,57,14
58.084,54,80,58,0
58.101,68,80,58,1
58.118,65,80,58,2
58.135,109,80,58,3
58.388,116,80,58,4
58.404,42,80,58,5
58.438,76,80,58,6
58.472,79,80,58,7
58.505,104,80,58,8
58.572,13,80,58,9
58.589,61,80,58,10
58.606,90,80,58,11
58.656,56,80,58,12
58.707,155,80,58,13
58.842,76,80,58,14
58.892,32,80,58,15
59.109,100,80,59,0
59.249,46,80,59,1
59.264,117,80,59,2
59.295,30,80,59,3
59.357,69,80,59,4
59.389,110,80,59,5
59.59,106,80,59,6
59.715,42,80,59,7
59.761,59,80,59,8
59.777,90,80,59,9
59.823,18,80,59,10
59.854,81,80,59,11
59.87,98,80,59,12
59.886,75,80,59,13
59.901,64,80,59,14
59.917,102,80,59,15
60.0,167,80,60,0
60.072,2,80,60,1
60.087,96,80,60,2
60.188,109,80,60,3
60.202,78,80,60,4
60.217,60,80,60,5
60.245,62,80,60,6
60.274,87,80,60,7
60.332,31,80,60,8
60.361,94,80,60,9
60.448,89,80,60,10
60.49,89,80,60,11
60.519,92,80,60,12
60.663,109,80,60,13
60.692,83,80,60,14
60.706,68,80,60,15
60.75,139,80,60,16
60.865,61,80,60,17
60.923,139,80,60,18
61.054,84,80,61,0
61.121,83,80,61,1
61.175,93,80,61,2
61.269,91,80,61,3
61.336,90,80,61,4
61.35,24,80,61,5
61.404,56,80,61,6
61.418,54,80,61,7
61.431,46,80,61,8
61.444,71,80,61,9
61.646,109,80,61,10
61.659,91,80,61,11
61.686,122,80,61,12
61.781,48,80,61,13
61.808,9,80,61,14
61.834,19,80,61,15
61.875,88,80,61,16
62.051,94,80,62,0
62.076,54,80,62,1
62.126,59,80,62,2
62.138,63,80,62,3
62.164,124,80,62,4
62.214,60,80,62,5
62.227,107,80,62,6
62.328,74,80,62,7
62.353,68,80,62,8
62.429,118,80,62,9
62.467,41,80,62,10
62.631,77,80,62,11
62.681,125,80,62,12
62.694,50,80,62,13
62.706,71,80,62,14
62.719,91,80,62,15
62.795,114,80,62,16
62.845,107,80,62,17
62.858,67,80,62,18
62.896,68,80,62,19
62.908,135,80,62,20
63.024,66,80,63,0
63.047,140,80,63,1
63.119,47,80,63,2
63.143,50,80,63,3
63.19,91,80,63,4
63.202,71,80,63,5
63.214,85,80,63,6
63.308,104,80,63,7
63.344,120,80,63,8
63.368,96,80,63,9
63.392,103,80,63,10
63.404,108,80,63,11
63.498,37,80,63,12
63.51,81,80,63,13
63.593,47,80,63,14
63.665,71,80,63,15
63.689,131,80,63,16
63.724,110,80,63,17
63.736,58,80,63,18
63.783,91,80,63,19
63.807,90,80,63,20
63.83,52,80,63,21
63.842,126,80,63,22
63.878,71,80,63,23
63.89,61,80,63,24
63.902,60,80,63,25
64.047,32,80,64,0
64.059,63,80,64,1
64.071,81,80,64,2
64.083,115,80,64,3
64.119,75,80,64,4
64.143,52,80,64,5
64.166,35,80,64,6
64.19,101,80,64,7
64.202,100,80,64,8
64.214,59,80,64,9
64.226,103,80,64,10
64.32,68,80,64,11
64.368,41,80,64,12
64.38,110,80,64,13
64.404,60,80,64,14
64.498,53,80,64,15
64.51,64,80,64,16
64.605,103,80,64,17
64.617,87,80,64,18
64.629,57,80,64,19
64.665,113,80,64,20
64.689,65,80,64,21
64.701,73,80,64,22
64.724,90,80,64,23
64.878,99,80,64,24
64.914,68,80,64,25
65.09,88,80,65,0
65.112,66,80,65,1
65.157,82,80,65,2
65.246,116,80,65,3
65.257,75,80,65,4
65.302,86,80,65,5
65.336,130,80,65,6
65.359,54,80,65,7
65.37,78,80,65,8
65.437,136,80,65,9
65.46,93,80,65,10
65.526,94,80,65,11
65.56,71,80,65,12
65.605,96,80,65,13
65.728,98,80,65,14
